grid_name,omega,computational,equivalent,A33,B33,Fz,heave_rao,runtime
Coarse,0.75,528,528,155325.016698698,67247.8334571252,561351.269150206,1.03093394046802,4.7743036
Coarse,1,528,528,-50916.2707343818,205841.271241651,622564.308555582,1.03847438385156,4.7743036
Coarse,1.25,528,528,129727.703415585,83825.5995097217,284395.223091493,1.49682883701416,4.7743036
Medium,0.75,1520,1520,143282.348411712,69794.7790276642,571601.099882368,1.0259376814755,29.8361229
Medium,1,1520,1520,127482.498637134,101717.439724362,441419.843043663,1.09416089063946,29.8361229
Medium,1.25,1520,1520,57887.4216309452,170866.765963298,405001.399923904,1.15921228928751,29.8361229
Fine,0.75,3472,3472,149168.316106859,69192.0820546551,569249.696122908,1.02495214830776,163.969302
Fine,1,3472,3472,158194.617334681,87784.8704058701,411135.866526048,1.10583955621559,163.969302
Fine,1.25,3472,3472,125386.315290183,89697.7281863709,293427.349348827,1.42559635116799,163.969302
