global_panel_id,farfield_local_panel_id,production_gamma_real_per_m,production_gamma_imag_per_m,analytic_gamma_real_per_m,analytic_gamma_imag_per_m,gamma_relative_error,single_layer_column_l2_m,double_layer_column_l2,actual_column_l2,stable_column_relative_residual
2481,1,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.125810158067,0.526693854308906,2.47636871249224,0
2482,2,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,1.47028324949871e-16,6.14041193353974,0.527809533855402,2.47968340381478,1.41556017665133e-16
2483,3,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.14730582250881,0.528085944531833,2.48159014080754,0
2484,4,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.15190916345966,0.528039218314062,2.48306131162979,0
2485,5,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.16282795548477,0.529282885556409,2.48503149107538,0
2486,6,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16230873723979,0.528519878233661,2.48527987191027,0
2487,7,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,1.47028324949871e-16,6.15472646471193,0.527824535972942,2.48401873642116,1.44124054183836e-16
2488,8,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.15383148067099,0.528072116251767,2.48364566050844,0
2489,9,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15387926030395,0.528142393999923,2.48364350621842,0
2490,10,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15492414173397,0.528020027115483,2.48403381201046,0
2491,11,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,1.47028324949871e-16,6.16329139274145,0.529103776783419,2.48528334075939,1.41851324731842e-16
2492,12,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,1.47028324949871e-16,6.16155551945079,0.528716599617628,2.48492820197506,1.15820923431895e-16
2493,13,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,1.47028324949871e-16,6.15138800010466,0.527889948358163,2.48292551670764,1.18437123142938e-16
2494,14,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.14675629680398,0.52805579461214,2.48143019788202,0
2495,15,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.13951678803024,0.527878206261505,2.47943741547087,0
2496,16,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,7.35141624749354e-17,6.12436118302989,0.526772201813626,2.47605195679775,5.87599092661659e-17
2497,17,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.10092448248079,0.518587741512078,2.47402647004021,0
2498,18,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.12581015806695,0.526693854308899,2.47636871249226,0
2499,19,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,7.35141624749354e-17,6.14041193354139,0.527809533855401,2.47968340381535,6.91284247921667e-17
2500,20,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.14730582251208,0.528085944531838,2.48159014080863,0
2501,21,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.15190916346472,0.528039218314075,2.48306131163145,0
2502,22,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.16282795549154,0.529282885556428,2.4850314910776,0
2503,23,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16230873724836,0.528519878233688,2.48527987191306,0
2504,24,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.15472646472218,0.527824535972976,2.48401873642449,0
2505,25,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.15383148068292,0.528072116251808,2.4836456605123,0
2506,26,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15387926031743,0.528142393999971,2.48364350622278,0
2507,27,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,1.47028324949871e-16,6.15492414174886,0.528020027115538,2.48403381201528,1.45952388566423e-16
2508,28,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16329139275756,0.529103776783479,2.48528334076459,0
2509,29,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16155551946797,0.528716599617694,2.48492820198061,0
2510,30,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,7.35141624749354e-17,6.1513880001227,0.527889948358233,2.48292551671346,6.06599064940123e-17
2511,31,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.14675629682257,0.528055794612213,2.48143019788802,0
2512,32,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.13951678804929,0.527878206261579,2.47943741547701,0
2513,33,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.12436118304907,0.526772201813701,2.47605195680393,0
2514,34,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.10092448249983,0.518587741512153,2.47402647004633,0
2515,35,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.12581015808555,0.526693854308971,2.47636871249825,0
2516,36,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.14041193355923,0.527809533855469,2.4796834038211,0
2517,37,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,1.47028324949871e-16,6.14730582252906,0.528085944531902,2.48159014081411,1.41951998105308e-16
2518,38,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.1519091634806,0.528039218314134,2.48306131163659,0
2519,39,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16282795550605,0.529282885556481,2.4850314910823,0
2520,40,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16230873726149,0.528519878233735,2.48527987191731,0
2521,41,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.15472646473375,0.527824535973015,2.48401873642824,0
2522,42,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15383148069282,0.52807211625184,2.48364566051553,0
2523,43,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15387926032574,0.528142393999996,2.48364350622549,0
2524,44,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15492414175534,0.528020027115556,2.4840338120174,0
2525,45,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16329139276235,0.52910377678349,2.48528334076618,0
2526,46,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16155551947114,0.528716599617699,2.48492820198167,0
2527,47,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15138800012418,0.52788994835823,2.48292551671397,0
2528,48,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.14675629682251,0.528055794612205,2.48143019788803,0
2529,49,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.13951678804776,0.527878206261567,2.47943741547654,0
2530,50,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,7.35141624749354e-17,6.12436118304607,0.526772201813684,2.47605195680298,6.9519083767746e-17
2531,51,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.10092448249557,0.518587741512132,2.47402647004498,0
2532,52,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.12581015808006,0.526693854308946,2.47636871249649,0
2533,53,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,7.35141624749354e-17,6.1404119335528,0.527809533855443,2.47968340381904,5.93330739114504e-17
2534,54,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.14730582252155,0.528085944531873,2.48159014081169,0
2535,55,0.348922667549618,0.144222372523952,0.348922667549618,0.144222372523952,0,6.15190916347217,0.528039218314102,2.48306131163386,0
2536,56,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16282795549698,0.529282885556449,2.48503149107936,0
2537,57,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16230873725156,0.5285198782337,2.48527987191409,0
2538,58,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15472646472324,0.52782453597298,2.48401873642483,0
2539,59,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15383148068183,0.528072116251804,2.48364566051195,0
2540,60,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.15387926031415,0.528142393999959,2.48364350622172,0
2541,61,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.1549241417434,0.528020027115517,2.48403381201351,0
2542,62,0.348922667549618,0.144222372523951,0.348922667549618,0.144222372523951,0,6.16329139275005,0.529103776783451,2.48528334076216,0
