mode_m,radius_factor,minimum_radius_m,maximum_radius_m,minimum_abs_kappa_r,maximum_abs_kappa_r,e_theta_max_relative,e_theta_p95_relative,e_theta_weighted_l2_relative,e_asymptotic_max_relative,e_asymptotic_p95_relative,e_asymptotic_weighted_l2_relative,e_implementation_max_relative,e_implementation_p95_relative,e_implementation_weighted_l2_relative,cylinder_coefficient_asymptotic_max_relative,cylinder_coefficient_asymptotic_p95_relative,cylinder_coefficient_asymptotic_weighted_l2_relative
0,1,62.722584696427,72.9811267445181,23.2986528353547,27.109245318623,0,0,0,0.000206141618710528,0.000206141618710395,0.000157251389827245,4.45439720188121e-16,2.38680489195246e-16,1.34881104383973e-16,0.000219032058097113,0.000219032058097083,0.000189601344412607
0,1.25,78.4032308705337,91.2264084306476,29.1233160441934,33.8865566482788,0,0,0,0.000133292357623461,0.000133292357623369,0.000101716981248089,4.44625839432321e-16,3.013826843851e-16,1.41680447213455e-16,0.00014157728638189,0.00014157728638189,0.000122473153938608
0,1.5,94.0838770446405,109.471690116777,34.9479792530321,40.6638679779345,0,0,0,9.32029651616709e-05,9.3202965161529e-05,7.12719040335181e-05,4.37151234895674e-16,2.83075244664476e-16,1.27951442622204e-16,9.89723563756527e-05,9.89723563756527e-05,8.55793045163378e-05
0,2,125.445169392854,145.962253489036,46.5973056707094,54.218490637246,0,0,0,5.28811996214759e-05,5.28811996214445e-05,4.10013949497707e-05,4.65028919029354e-16,2.56891422532695e-16,1.30735082350798e-16,5.61375352162814e-05,5.61375352162814e-05,4.85138688588112e-05
1,1,62.722584696427,72.9811267445181,23.2986528353547,27.109245318623,1.31096241888527e-16,6.55481209442632e-17,2.49420801665328e-17,0.000618142745654004,0.000618142745653815,0.000471598545584704,3.79350815437889e-16,2.70340772893989e-16,1.41739300345091e-16,0.000656893934498189,0.000656893934498189,0.000568653270191632
1,1.25,78.4032308705337,91.2264084306476,29.1233160441934,33.8865566482788,9.53507516742283e-17,4.55508575731126e-17,1.5842072253871e-17,0.000399761039399801,0.000399761039399716,0.000305087642476895,4.26486959213039e-16,2.59889861647765e-16,1.48859988789785e-16,0.00042464978447838,0.00042464978447838,0.000367358276822364
1,1.5,94.0838770446405,109.471690116777,34.9479792530321,40.6638679779345,8.10855081602216e-17,3.96038055688772e-17,1.28991641952712e-17,0.000279552814399178,0.000279552814399016,0.000213785800680707,4.64828815642416e-16,3.14013292413847e-16,1.46304683793994e-16,0.000296877776842835,0.000296877776842835,0.000256708618785864
1,2,125.445169392854,145.962253489036,46.5973056707094,54.218490637246,7.42427111434899e-17,2.34704423967192e-17,1.18696701218211e-17,0.00015862581785144,0.000158625817851326,0.000122996249157917,4.15660741516262e-16,2.4421313150914e-16,1.28528893368405e-16,0.00016840030417847,0.00016840030417847,0.000145532432685726
