mode_m,radius_factor,physical_k_per_m,minimum_radius_m,maximum_radius_m,minimum_k_r,maximum_k_r,legacy_wall_e_asymptotic_max_relative,legacy_wall_e_asymptotic_p95_relative,legacy_wall_e_asymptotic_weighted_l2_relative,cylinder_coefficient_asymptotic_max_relative,cylinder_coefficient_asymptotic_p95_relative,cylinder_coefficient_asymptotic_weighted_l2_relative
0,1,0.229436147969854,61.910280971409,73.8046333864726,14.2044563858114,16.9334507865196,0.00059406388625006,0.000593077417833384,0.000418195549393408,0.000615590185673914,0.000615358653089092,0.000518050640311201
0,1.25,0.229436147969854,77.3878512142612,92.2557917330908,17.7555704822643,21.1668134831495,0.000380895388408211,0.000380262642239722,0.000268466241385043,0.000394871740602294,0.000394722895397001,0.000332196833842687
0,1.5,0.229436147969854,92.8654214571134,110.706950079709,21.3066845787171,25.4001761797794,0.000264776336173453,0.000264336389870067,0.000186781238870064,0.000274557963311161,0.000274454343335871,0.000230938010042595
0,2,0.229436147969854,123.820561942818,147.609266772945,28.4089127716229,33.8669015730392,0.000149086763458083,0.000148838988486623,0.000105285922296774,0.000154631565009623,0.000154573134101324,0.000130041170370701
1,1,0.229436147969854,61.910280971409,73.8046333864726,14.2044563858114,16.9334507865196,0.00178430557460698,0.00178134189384465,0.00125614677338312,0.00185009371398811,0.00184939664807489,0.00155653866807495
1,1.25,0.229436147969854,77.3878512142612,92.2557917330908,17.7555704822643,21.1668134831495,0.00114356698626774,0.00114166696089617,0.000806046349076852,0.00118599502374574,0.001185547456653,0.000997579828610387
1,1.5,0.229436147969854,92.8654214571134,110.706950079709,21.3066845787171,25.4001761797794,0.000794757843018731,0.000793437132685805,0.000560658470041264,0.000824344340004692,0.000824032977048352,0.000693294291465288
1,2,0.229436147969854,123.820561942818,147.609266772945,28.4089127716229,33.8669015730392,0.000447397284555022,0.000446653680776062,0.000315958193457375,0.000464108450421423,0.000463932996720158,0.000390276481687501
