global_panel_id,farfield_local_panel_id,node_ids,boundary_group,boundary_type,centroid_x_m,centroid_y_m,centroid_z_m,radius_m,theta_rad,production_nx,production_ny,production_nz,production_ntheta,geometric_nx,geometric_ny,geometric_nz,geometric_ntheta,analytic_nx,analytic_ny,analytic_nz,analytic_ntheta,benchmark_algorithm_nx,benchmark_algorithm_ny,benchmark_algorithm_nz,benchmark_algorithm_ntheta
2544,64,12|6|15|21,FARFIELD,5,-69.6434546274283,21.818205436212,-6.25,72.9811267445181,2.83799336353732,0.920446822973161,-0.288361598145473,0.263865940950329,-1.99840144432528e-15,0.920446822973161,-0.288361598145473,0.263865940950329,-1.99840144432528e-15,0.920378339288676,-0.288340143277891,0.264128140005386,0,0.920446822973161,-0.288361598145473,0.263865940950329,-1.55431223447522e-15
2527,47,2459|2405|2391|2445,FARFIELD,5,21.818205436212,69.6434546274283,-6.25,72.9811267445181,1.26719703674242,-0.288361598145473,-0.920446822973161,0.263865940950329,-1.94289029309402e-15,-0.288361598145473,-0.920446822973161,0.263865940950329,-1.94289029309402e-15,-0.288340143277891,-0.920378339288676,0.264128140005386,0,-0.288361598145473,-0.920446822973161,0.263865940950329,-1.33226762955019e-15
2612,132,21|15|26|33,FARFIELD,5,-66.3803264757222,20.7959184063757,-18.75,69.5616127284877,2.83799336353732,0.920446822973161,-0.288361598145473,0.263865940950329,-1.72084568816899e-15,0.920446822973161,-0.288361598145473,0.263865940950329,-1.72084568816899e-15,0.920378339288676,-0.288340143277891,0.264128140005386,0,0.920446822973162,-0.288361598145472,0.263865940950329,-2.60902410786912e-15
2596,116,2391|2302|2285|2385,FARFIELD,5,14.582402860118,68.0159649803877,-18.75,69.5616127284877,1.35959682067153,-0.202203380075564,-0.94312701068966,0.263865940950329,1.69309011255336e-15,-0.202203380075564,-0.94312701068966,0.263865940950329,1.69309011255336e-15,-0.202188335607879,-0.943056839539066,0.264128140005386,2.77555756156289e-17,-0.202203380075564,-0.94312701068966,0.263865940950329,1.94289029309402e-15
2613,133,15|11|22|26,FARFIELD,5,-68.0159649803877,14.582402860118,-18.75,69.5616127284877,2.93039314746643,0.94312701068966,-0.202203380075564,0.263865940950329,1.66533453693773e-15,0.94312701068966,-0.202203380075564,0.263865940950329,1.66533453693773e-15,0.943056839539066,-0.202188335607879,0.264128140005386,2.77555756156289e-17,0.94312701068966,-0.202203380075564,0.263865940950329,1.94289029309402e-15
2595,115,2445|2391|2385|2440,FARFIELD,5,20.7959184063757,66.3803264757222,-18.75,69.5616127284877,1.26719703674242,-0.288361598145473,-0.920446822973161,0.263865940950329,-1.60982338570648e-15,-0.288361598145473,-0.920446822973161,0.263865940950329,-1.60982338570648e-15,-0.288340143277891,-0.920378339288676,0.264128140005386,0,-0.288361598145472,-0.920446822973162,0.263865940950329,-2.55351295663786e-15
2752,272,28|32|46|44,FARFIELD,5,-62.5860251275509,-4.13667616982894,-43.75,62.722584696427,-3.07559280792582,0.962459325244401,0.0636145616701807,0.263865940950329,1.56819002228303e-15,0.962459325244401,0.0636145616701807,0.263865940950329,1.56819002228303e-15,0.962387715718338,0.0636098285780999,0.264128140005386,0,0.962459325244401,0.0636145616701799,0.263865940950329,2.35922392732846e-15
2551,71,16|25|37|27,FARFIELD,5,-65.5049848071118,-23.4075827630311,-18.75,69.5616127284877,-2.79839345613849,0.908309108372087,0.324575613462721,0.26386594095033,1.55431223447522e-15,0.908309108372087,0.324575613462721,0.26386594095033,1.55431223447522e-15,0.908241527765755,0.324551464176366,0.264128140005386,5.55111512312578e-17,0.908309108372087,0.324575613462721,0.26386594095033,1.22124532708767e-15
2701,221,1576|2195|2180|1558,FARFIELD,5,4.13667616982893,-62.5860251275509,-43.75,62.722584696427,-1.50479648113093,-0.0636145616701807,0.962459325244401,0.263865940950329,1.47104550762833e-15,-0.0636145616701807,0.962459325244401,0.263865940950329,1.47104550762833e-15,-0.0636098285780998,0.962387715718338,0.264128140005386,0,-0.0636145616701799,0.962459325244401,0.263865940950329,2.24820162486594e-15
2589,109,2608|2595|2587|2598,FARFIELD,5,52.625785021455,45.4900507392958,-18.75,69.5616127284877,0.712798333167752,-0.72972278386101,-0.630776841617172,0.26386594095033,-1.38777878078145e-15,-0.72972278386101,-0.630776841617172,0.26386594095033,-1.38777878078145e-15,-0.729668490550801,-0.63072991014745,0.264128140005386,-5.55111512312578e-17,-0.729722783861011,-0.630776841617171,0.26386594095033,-9.99200722162641e-16
2604,124,168|141|147|181,FARFIELD,5,-35.0455335575727,60.0885059146352,-18.75,69.5616127284877,2.09879509210443,0.485950457539025,-0.833202807258839,0.263865940950329,1.38777878078145e-15,0.485950457539025,-0.833202807258839,0.263865940950329,1.38777878078145e-15,0.485914301536334,-0.833140814760477,0.264128140005386,0,0.485950457539025,-0.833202807258839,0.263865940950329,8.88178419700125e-16
2684,204,17|20|32|28,FARFIELD,5,-65.9980941799839,-4.36219975453087,-31.25,66.1420987124574,-3.07559280792582,0.962459325244401,0.0636145616701809,0.263865940950329,1.37390099297363e-15,0.962459325244401,0.0636145616701809,0.263865940950329,1.37390099297363e-15,0.962387715718338,0.0636098285780999,0.264128140005386,0,0.962459325244401,0.0636145616701818,0.263865940950328,4.71844785465692e-16
2633,153,1583|2200|2195|1576,FARFIELD,5,4.36219975453087,-65.9980941799839,-31.25,66.1420987124574,-1.50479648113093,-0.0636145616701809,0.962459325244401,0.263865940950329,1.31838984174237e-15,-0.0636145616701809,0.962459325244401,0.263865940950329,1.31838984174237e-15,-0.0636098285780998,0.962387715718338,0.264128140005386,0,-0.0636145616701818,0.962459325244401,0.263865940950328,4.02455846426619e-16
2545,65,6|4|11|15,FARFIELD,5,-71.3594979498155,15.2992455124327,-6.25,72.9811267445181,2.93039314746643,0.94312701068966,-0.202203380075564,0.263865940950329,1.27675647831893e-15,0.94312701068966,-0.202203380075564,0.263865940950329,1.27675647831893e-15,0.943056839539066,-0.202188335607879,0.264128140005386,2.77555756156289e-17,0.943127010689661,-0.202203380075563,0.263865940950328,5.55111512312578e-16
2585,105,2663|2654|2642|2652,FARFIELD,5,65.5049848071118,23.4075827630311,-18.75,69.5616127284877,0.343199197451306,-0.908309108372087,-0.324575613462721,0.26386594095033,1.27675647831893e-15,-0.908309108372087,-0.324575613462721,0.26386594095033,1.27675647831893e-15,-0.908241527765755,-0.324551464176365,0.264128140005386,5.55111512312578e-17,-0.908309108372087,-0.324575613462721,0.26386594095033,9.43689570931383e-16
2619,139,27|37|55|40,FARFIELD,5,-62.2848867547267,-22.2569113769033,-31.25,66.1420987124574,-2.79839345613849,0.908309108372087,0.324575613462721,0.263865940950328,1.27675647831893e-15,0.908309108372087,0.324575613462721,0.263865940950328,1.27675647831893e-15,0.908241527765755,0.324551464176366,0.264128140005386,5.55111512312578e-17,0.908309108372087,0.32457561346272,0.263865940950329,2.05391259555654e-15
2688,208,55|67|79|69,FARFIELD,5,-56.8653905881787,-26.4660156475117,-43.75,62.722584696427,-2.70599367220938,0.874486362470156,0.406999222431827,0.263865940950329,-1.27675647831893e-15,0.874486362470156,0.406999222431827,0.263865940950329,-1.27675647831893e-15,0.874421298365812,0.40696894061039,0.264128140005386,0,0.874486362470156,0.406999222431827,0.263865940950329,-7.21644966006352e-16
2718,238,2651|2647|2632|2635,FARFIELD,5,62.5860251275509,4.13667616982894,-43.75,62.722584696427,0.0659998456639714,-0.962459325244401,-0.0636145616701809,0.263865940950329,1.27675647831893e-15,-0.962459325244401,-0.0636145616701809,0.263865940950329,1.27675647831893e-15,-0.962387715718338,-0.0636098285780997,0.264128140005386,1.38777878078145e-17,-0.962459325244401,-0.0636145616701801,0.263865940950329,2.06779038336435e-15
2528,48,2405|2311|2302|2391,FARFIELD,5,15.2992455124327,71.3594979498155,-6.25,72.9811267445181,1.35959682067153,-0.202203380075564,-0.94312701068966,0.263865940950329,1.2490009027033e-15,-0.202203380075564,-0.94312701068966,0.263865940950329,1.2490009027033e-15,-0.202188335607879,-0.943056839539066,0.264128140005386,2.77555756156289e-17,-0.202203380075563,-0.943127010689661,0.263865940950328,5.27355936696949e-16
2484,4,14|24|35|25,FARFIELD,5,-66.1659639502836,-30.7946436158822,-6.25,72.9811267445181,-2.70599367220938,0.874486362470157,0.406999222431827,0.263865940950328,-1.22124532708767e-15,0.874486362470157,0.406999222431827,0.263865940950328,-1.22124532708767e-15,0.874421298365812,0.40696894061039,0.264128140005386,0,0.874486362470157,0.406999222431827,0.263865940950328,-1.22124532708767e-15
