mode_m,error_class,max_absolute,p95_absolute,weighted_l2_absolute,max_relative,p95_relative,weighted_l2_relative,minimum_denominator,global_denominator_floor
0,E_THETA,0,0,0,0,0,0,2.92044087240422e-14,7.5671748971212e-24
0,E_ASYMPTOTIC,1.18703924430585e-15,1.18703924430491e-15,6.24589282954094e-16,0.000206141618710528,0.000206141618710395,0.000157251389827245,2.92076048788191e-14,7.5677795599012e-24
0,E_IMPLEMENTATION,2.42338070083895e-27,1.61558713389263e-27,5.35736392306569e-28,4.45439720188121e-16,2.38680489195246e-16,1.34881104383973e-16,2.92076048788191e-14,7.5677795599012e-24
1,E_THETA,8.07793566946316e-28,1.0097419586829e-28,1.00532666779662e-28,1.31096241888527e-16,6.55481209442632e-17,2.49420801665328e-17,2.97110573740983e-14,7.67954026974516e-24
1,E_ASYMPTOTIC,3.61250599478702e-15,3.61250599478595e-15,1.90084624540082e-15,0.000618142745654004,0.000618142745653815,0.000471598545584704,2.97110573740983e-14,7.67954026974516e-24
1,E_IMPLEMENTATION,2.9125411256149e-27,1.66530910010706e-27,5.71163414850111e-28,3.79350815437889e-16,2.70340772893989e-16,1.41739300345091e-16,2.97012964678745e-14,7.67769833907682e-24
