omega_rad_s,heading_deg,method,body,dof,load,Cd
0.7,45,far_field_global,0,1,-315.453385860325,-0.00627654501464499
0.7,45,far_field_global,0,2,-315.453386142571,-0.00627654502026081
0.7,45,far_field_global,0,3,0,0
0.7,45,far_field_global,0,4,0,0
0.7,45,far_field_global,0,5,0,0
0.7,45,far_field_global,0,6,2.34986625827923e-05,4.67550579882363e-11
0.7,90,near_field,1,1,0.331860274005157,6.60299125553865e-06
0.7,90,near_field,1,2,3010.68516363622,0.0599033068006236
0.7,90,near_field,1,3,29551.0051602363,0.587973445301217
0.7,90,near_field,1,4,-0.410393307344826,-8.16555530140786e-07
0.7,90,near_field,1,5,-0.00531288692969925,-1.05709989071861e-08
0.7,90,near_field,1,6,0.00421703873048628,8.39060051557604e-09
0.7,90,far_field_global,0,1,1.80341506667128e-06,3.58823723358708e-11
0.7,90,far_field_global,0,2,-446.11095873778,-0.00887622590072277
0.7,90,far_field_global,0,3,0,0
0.7,90,far_field_global,0,4,0,0
0.7,90,far_field_global,0,5,0,0
0.7,90,far_field_global,0,6,0.000219189491477461,4.36119176924789e-10
0.8,0,near_field,1,1,7001.59680427934,0.139310083474304
0.8,0,near_field,1,2,0.132362628836847,2.63360621692318e-06
0.8,0,near_field,1,3,35606.4042167647,0.708457125184013
0.8,0,near_field,1,4,0.00079223287999356,1.57629797499245e-09
0.8,0,near_field,1,5,-0.584244330844751,-1.16246520293236e-06
0.8,0,near_field,1,6,0.00445809673565897,8.87023125926913e-09
0.8,0,far_field_global,0,1,-615.936663855039,-0.0122552312644004
0.8,0,far_field_global,0,2,1.85063608973271e-06,3.68219243906833e-11
0.8,0,far_field_global,0,3,0,0
0.8,0,far_field_global,0,4,0,0
0.8,0,far_field_global,0,5,0,0
0.8,0,far_field_global,0,6,-0.000105536913016855,-2.09985758577421e-10
0.8,45,near_field,1,1,4939.86237976642,0.0982879562639522
0.8,45,near_field,1,2,4939.80683732658,0.0982868511414857
0.8,45,near_field,1,3,35604.5277719685,0.708419789746326
0.8,45,near_field,1,4,6.87246867576016,1.36740833792304e-05
0.8,45,near_field,1,5,-6.87295934082822,-1.36750596506939e-05
0.8,45,near_field,1,6,0.000994279595922799,1.97830833989389e-09
0.8,45,far_field_global,0,1,-435.553991504392,-0.00866617496125422
0.8,45,far_field_global,0,2,-435.553991886416,-0.00866617496885533
0.8,45,far_field_global,0,3,0,0
0.8,45,far_field_global,0,4,0,0
0.8,45,far_field_global,0,5,0,0
0.8,45,far_field_global,0,6,1.5657981739698e-05,3.11545323755754e-11
0.8,90,near_field,1,1,0.421204448226474,8.38066350897479e-06
0.8,90,near_field,1,2,7001.37976011525,0.139305764967903
0.8,90,near_field,1,3,35606.3141976367,0.70845533408227
0.8,90,near_field,1,4,0.579779350254762,1.15358127493579e-06
0.8,90,near_field,1,5,-0.00539678239267962,-1.07379248853253e-08
0.8,90,near_field,1,6,0.00497331079495045,9.89534760934463e-09
0.8,90,far_field_global,0,1,2.08473699274383e-06,4.14798070496727e-11
0.8,90,far_field_global,0,2,-615.93666112015,-0.0122552312099846
0.8,90,far_field_global,0,3,0,0
0.8,90,far_field_global,0,4,0,0
0.8,90,far_field_global,0,5,0,0
0.8,90,far_field_global,0,6,0.000118934626186867,2.3664305679457e-10
0.9,0,near_field,1,1,12957.4878893408,0.257813863028799
0.9,0,near_field,1,2,0.115661844600536,2.30131235438244e-06
0.9,0,near_field,1,3,42192.8816188437,0.839507618712065
0.9,0,near_field,1,4,0.00237772948338318,4.73094498396382e-09
0.9,0,near_field,1,5,-2.61896364916101,-5.21092623268159e-06
0.9,0,near_field,1,6,0.00562036069433494,1.11827764347263e-08
0.9,0,far_field_global,0,1,-348.447692583524,-0.00693302949272524
0.9,0,far_field_global,0,2,3.06125133734672e-08,6.09094169891281e-13
0.9,0,far_field_global,0,3,0,0
0.9,0,far_field_global,0,4,0,0
0.9,0,far_field_global,0,5,0,0
0.9,0,far_field_global,0,6,-9.011190022951e-07,-1.79294762236645e-12
0.9,45,near_field,1,1,9147.60507754592,0.182008999170591
0.9,45,near_field,1,2,9147.56528827098,0.182008207487298
0.9,45,near_field,1,3,42189.6657205463,0.839443632299711
0.9,45,near_field,1,4,10.1926109858218,2.02801379020867e-05
0.9,45,near_field,1,5,-10.1926390264325,-2.02801936942143e-05
0.9,45,near_field,1,6,0.000670380436218042,1.33384936521903e-09
0.9,45,far_field_global,0,1,-246.456751784333,-0.00490372576765584
0.9,45,far_field_global,0,2,-246.456751782292,-0.00490372576761523
0.9,45,far_field_global,0,3,0,0
0.9,45,far_field_global,0,4,0,0
0.9,45,far_field_global,0,5,0,0
0.9,45,far_field_global,0,6,-6.06437284498311e-08,-1.20662230469705e-13
0.9,90,near_field,1,1,0.521861997230565,1.03834368685473e-05
0.9,90,near_field,1,2,12957.2813669854,0.257809753873792
0.9,90,near_field,1,3,42192.7064520878,0.839504133436338
0.9,90,near_field,1,4,2.61099792204945,5.19507690373757e-06
0.9,90,near_field,1,5,-0.00537425101826551,-1.06930944310995e-08
0.9,90,near_field,1,6,0.00579211140573719,1.15245071371797e-08
0.9,90,far_field_global,0,1,3.68780457436489e-08,7.33758851663228e-13
0.9,90,far_field_global,0,2,-348.447692481306,-0.00693302949069142
0.9,90,far_field_global,0,3,0,0
0.9,90,far_field_global,0,4,0,0
0.9,90,far_field_global,0,5,0,0
0.9,90,far_field_global,0,6,1.08805921584293e-06,2.16490072795138e-12
1,0,near_field,1,1,18904.5604727516,0.376142181722663
1,0,near_field,1,2,0.0881743504931434,1.75439638569086e-06
1,0,near_field,1,3,50235.2719499371,0.999526268696706
1,0,near_field,1,4,0.00442848641634093,8.81131589794219e-09
1,0,near_field,1,5,-4.82319498140058,-9.59666365051307e-06
1,0,near_field,1,6,0.00697252370286518,1.38731618832869e-08
1,0,far_field_global,0,1,1667.10302689963,0.0331701850777391
1,0,far_field_global,0,2,-3.56881866159411e-09,-7.10084341542576e-14
1,0,far_field_global,0,3,0,0
1,0,far_field_global,0,4,0,0
1,0,far_field_global,0,5,0,0
1,0,far_field_global,0,6,5.83792547352904e-08,1.16156629375891e-13
1,45,near_field,1,1,13347.0819400869,0.265565577565883
1,45,near_field,1,2,13347.0584040773,0.265565109272213
1,45,near_field,1,3,50230.1518066122,0.999424393708195
1,45,near_field,1,4,13.7835897520454,2.74250730598968e-05
1,45,near_field,1,5,-13.7831096011793,-2.74241177084376e-05
1,45,near_field,1,6,0.000345379590221193,6.87198376156535e-10
1,45,far_field_global,0,1,1178.62958682924,0.0234510770494683
1,45,far_field_global,0,2,1178.62958683043,0.023451077049492
1,45,far_field_global,0,3,0,0
1,45,far_field_global,0,4,0,0
1,45,far_field_global,0,5,0,0
1,45,far_field_global,0,6,-1.68638591062748e-08,-3.35538547200856e-14
1,90,near_field,1,1,0.643695289881958,1.2807541918247e-05
1,90,near_field,1,2,18904.3824053905,0.376138638733881
1,90,near_field,1,3,50234.9980127621,0.999520818195659
1,90,near_field,1,4,4.81072962005759,9.57186144356267e-06
1,90,near_field,1,5,-0.00506099964424023,-1.0069821250941e-08
1,90,near_field,1,6,0.006710180490347,1.33511801717366e-08
1,90,far_field_global,0,1,-4.22491932929922e-09,-8.40628046558097e-14
1,90,far_field_global,0,2,1667.10302690536,0.0331701850778533
1,90,far_field_global,0,3,0,0
1,90,far_field_global,0,4,0,0
1,90,far_field_global,0,5,0,0
1,90,far_field_global,0,6,-7.34332859652069e-08,-1.46109487357982e-13
1.1,0,near_field,1,1,25820.6395638744,0.51375072766326
1.1,0,near_field,1,2,0.0726822115672492,1.44615082010177e-06
1.1,0,near_field,1,3,60232.1987983972,1.19843413966898
1.1,0,near_field,1,4,0.00710421348655749,1.41351837516081e-08
1.1,0,near_field,1,5,-12.983414190429,-2.58329716093427e-05
1.1,0,near_field,1,6,0.00922706210627869,1.83589947861983e-08
1.1,0,far_field_global,0,1,5971.23407208779,0.118809057459398
1.1,0,far_field_global,0,2,-2.72720350441966e-10,-5.4262900088721e-15
1.1,0,far_field_global,0,3,0,0
1.1,0,far_field_global,0,4,0,0
1.1,0,far_field_global,0,5,0,0
1.1,0,far_field_global,0,6,5.00833894864193e-09,9.9650427824761e-15
1.1,45,near_field,1,1,18230.2648077494,0.362725787148156
1.1,45,near_field,1,2,18230.2381398412,0.362725256539409
1.1,45,near_field,1,3,60224.630722904,1.19828355841471
1.1,45,near_field,1,4,21.7829626750451,4.33413467442664e-05
1.1,45,near_field,1,5,-21.7824332710605,-4.33402933943614e-05
1.1,45,near_field,1,6,0.00038526042279397,7.66548876764376e-10
1.1,45,far_field_global,0,1,4221.81276139691,0.0840009935795814
1.1,45,far_field_global,0,2,4221.812761397,0.0840009935795832
1.1,45,far_field_global,0,3,0,0
1.1,45,far_field_global,0,4,0,0
1.1,45,far_field_global,0,5,0,0
1.1,45,far_field_global,0,6,-5.48353123752004e-09,-1.09105282093075e-14
1.1,90,near_field,1,1,0.829546787980704,1.65054109098085e-05
1.1,90,near_field,1,2,25820.4666493336,0.513747287199637
1.1,90,near_field,1,3,60231.7909776321,1.1984260252993
1.1,90,near_field,1,4,12.9644132479033,2.57951656207471e-05
1.1,90,near_field,1,5,-0.00499463857810265,-9.93778328986595e-09
1.1,90,near_field,1,6,0.00814331447313516,1.62026727719683e-08
1.1,90,far_field_global,0,1,-3.40285447102772e-10,-6.7706260966076e-15
1.1,90,far_field_global,0,2,5971.23407208777,0.118809057459397
1.1,90,far_field_global,0,3,0,0
1.1,90,far_field_global,0,4,0,0
1.1,90,far_field_global,0,5,0,0
1.1,90,far_field_global,0,6,-4.89075664103584e-09,-9.73109042067068e-15
1.2,0,near_field,1,1,71307.9323606014,1.41880692179588
1.2,0,near_field,1,2,0.140446619459459,2.79445258381954e-06
1.2,0,near_field,1,3,74207.8307742613,1.47650591552072
1.2,0,near_field,1,4,0.0127102224115117,2.52894046118515e-08
1.2,0,near_field,1,5,-61.4424021385205,-0.000122251343658457
1.2,0,near_field,1,6,0.0163213658433597,3.24744612066694e-08
1.2,0,far_field_global,0,1,1495.37373007304,0.0297533041369124
1.2,0,far_field_global,0,2,8.13959099064522e-13,1.61952641954537e-17
1.2,0,far_field_global,0,3,0,0
1.2,0,far_field_global,0,4,0,0
1.2,0,far_field_global,0,5,0,0
1.2,0,far_field_global,0,6,2.25946221534329e-11,4.49562976311528e-17
1.2,45,near_field,1,1,50388.8182659142,1.00258136465466
1.2,45,near_field,1,2,50388.635864167,1.00257773542502
1.2,45,near_field,1,3,74199.813693163,1.47634640044605
1.2,45,near_field,1,4,59.8776144044095,0.000119137900883155
1.2,45,near_field,1,5,-59.8804521580226,-0.000119143547133629
1.2,45,near_field,1,6,0.00316005871117527,6.28753775950742e-09
1.2,45,far_field_global,0,1,1056.49726366661,0.0210210222190762
1.2,45,far_field_global,0,2,1056.49726366659,0.0210210222190758
1.2,45,far_field_global,0,3,0,0
1.2,45,far_field_global,0,4,0,0
1.2,45,far_field_global,0,5,0,0
1.2,45,far_field_global,0,6,1.73765540126783e-09,3.45739587364189e-15
1.2,90,near_field,1,1,1.05750510573517,2.10410751536604e-05
1.2,90,near_field,1,2,71307.3569712063,1.41879547332963
1.2,90,near_field,1,3,74206.5687264446,1.47648080467935
1.2,90,near_field,1,4,61.411896479887,0.000122190646849294
1.2,90,near_field,1,5,-0.0107344152726195,-2.13581605664937e-08
1.2,90,near_field,1,6,0.0113932689995118,2.26690753514556e-08
1.2,90,far_field_global,0,1,-8.52835522105916e-13,-1.69687845638029e-17
1.2,90,far_field_global,0,2,1495.37373007345,0.0297533041369205
1.2,90,far_field_global,0,3,0,0
1.2,90,far_field_global,0,4,0,0
1.2,90,far_field_global,0,5,0,0
1.2,90,far_field_global,0,6,2.00101728668846e-11,3.98140442865429e-17
1.3,0,near_field,1,1,171374.62379744,3.40982404642424
1.3,0,near_field,1,2,0.141935630407477,2.82407928830727e-06
1.3,0,near_field,1,3,125718.881365698,2.50141622645953
1.3,0,near_field,1,4,0.0243205128614295,4.83902854102203e-08
1.3,0,near_field,1,5,-154.864216642416,-0.000308131809795899
1.3,0,near_field,1,6,0.0274274770071554,5.45721814346843e-08
1.3,0,far_field_global,0,1,-14794.5490706745,-0.294365688801255
1.3,0,far_field_global,0,2,4.49412159802918e-12,8.9419095738627e-17
1.3,0,far_field_global,0,3,0,0
1.3,0,far_field_global,0,4,0,0
1.3,0,far_field_global,0,5,0,0
