omega_rad_s,phi3_norm,phi3_area_weighted_norm,phi3_max_abs,phi3_phase_at_max_deg,phi3_probe1_real,phi3_probe1_imag,phi3_probe2_real,phi3_probe2_imag,phi3_probe3_real,phi3_probe3_imag,F33_rad_real_N,F33_rad_imag_N,F33_rad_abs_N,F33_rad_angle_deg,F33_panel_reconstruction_relative_error,A33_kg,B33_kg_s,D3_real_N_per_m,D3_imag_N_per_m,RAO3_real_m_per_m,RAO3_imag_m_per_m
0.58,38.9088046406381,20.1115270826456,1.71737615183477,-4.83947465902592,1.50150719982295,0.373064163333729,1.70996920983834,-0.145140151913488,1.71101934193756,-0.142593234866962,20866.8431628627,-69584.3093449348,72645.7242416586,-73.3071389529586,2.50391805234803e-16,62029.8548242054,119972.947146439,676674.673482268,69584.3093449348,1.00880891912096,-0.000266729849625176
0.59,30.7710364416325,15.9119771012512,1.3680961171154,38.4963829974962,1.16390406186885,0.355493327070195,1.3311228849593,-0.177221496215883,1.33221720752216,-0.174952253063484,20474.7661803156,-54851.9485684789,58548.7174231653,-69.5307409641092,6.21359265788514e-17,58818.6330948453,92969.4043533541,673927.125664815,54851.9485684789,1.00940184858801,-0.000211270740981621
0.6,25.4233157280059,13.1508645259069,1.24536656788312,47.4834953208313,0.917629545729803,0.416013137435203,1.05399867708319,-0.119966510929267,1.0550582880299,-0.117884786327413,23799.8645012636,-43965.2144473191,49993.7359243862,-61.5718109603897,3.00033006296715e-16,66110.7347257322,73275.3574121985,667408.733743867,43965.2144473191,1.01004331317817,-0.000172587277364128
0.61,22.393041343147,11.5842352515058,1.21630348563654,56.0556643490875,0.742785464047779,0.503823478111788,0.856917349305956,-0.0308098708725042,0.857914885217891,-0.0288450392558403,28552.0556416023,-36170.3131590962,46081.5737078091,-51.7132082551835,4.73678980256945e-16,76732.2108078535,59295.5953427807,659409.580203528,36170.3131590962,1.01072905493239,-0.000146150584227122
0.62,21.0818100959384,10.9036893971022,1.24012050620749,62.9902841927263,0.617868457567234,0.597262882823564,0.715986776755998,0.0655829126686724,0.716917044105228,0.0674801546492269,33723.6464102948,-30571.449334831,45518.1045479569,-42.1932059651154,1.78714996903925e-16,87730.6098082591,49308.7892497275,650937.358234836,30571.449334831,1.01145908718508,-0.000128276444776653
