omega_rad_s,F33_rad_real_N,F33_rad_imag_N,F33_rad_abs_N,F33_rad_angle_deg,F33_panel_reconstruction_relative_error,A33_kg,B33_kg_s
0.54,100489.604323878,-80406.5111248626,128698.747501451,-38.6649629040221,3.19809108852873e-16,344614.555294507,148900.946527523
0.56,50137.7158656846,-100845.424987291,112621.446861135,-63.5646328880972,1.44462145356577e-16,159877.920490066,180081.116048734
0.58,20866.8431628627,-69584.3093449348,72645.7242416586,-73.3071389529586,2.50391805234803e-16,62029.8548242054,119972.947146439
0.59,20474.7661803156,-54851.9485684789,58548.7174231653,-69.5307409641092,6.21359265788514e-17,58818.6330948453,92969.4043533541
0.6,23799.8645012636,-43965.2144473191,49993.7359243862,-61.5718109603897,3.00033006296715e-16,66110.7347257322,73275.3574121985
0.61,28552.0556416023,-36170.3131590962,46081.5737078091,-51.7132082551835,4.73678980256945e-16,76732.2108078535,59295.5953427807
0.62,33723.6464102948,-30571.449334831,45518.1045479569,-42.1932059651154,1.78714996903925e-16,87730.6098082591,49308.7892497275
0.64,43972.8076390578,-23471.6867352568,49845.0387687642,-28.0922877047849,3.64928877271882e-16,107355.487400043,36674.5105238388
0.66,53621.3051425568,-19484.5009969727,57051.644536264,-19.9697464257398,1.80358656106564e-16,123097.578380525,29521.9712075343
