omega_rad_s,physical_k_per_m,wavelength_m,A33_kg,B33_kg_s,F33_rad_real_N,F33_rad_imag_N,raw_rcond,scaled_rcond,relative_residual,body_panel_count,free_surface_panel_count,bottom_panel_count,farfield_panel_count,total_panel_count,outer_radius_top_m,outer_radius_bottom_m,legacy_theta_count,top_theta_ideal_count,top_theta_candidate_count,top_theta_count,bottom_theta_ideal_count,bottom_theta_candidate_count,bottom_theta_count,common_wall_theta_count,top_radial_ideal_count,top_radial_layer_count,bottom_radial_ideal_count,bottom_radial_layer_count,wall_vertical_ideal_count,wall_vertical_candidate_count,wall_vertical_layer_count,top_theta_spacing_m,bottom_theta_spacing_m,top_radial_spacing_m,bottom_radial_spacing_m,wall_slant_spacing_m,minimum_panel_area_m2,maximum_panel_area_m2,minimum_panel_aspect_ratio,maximum_panel_aspect_ratio,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash
0.54,0.0322078996032883,195.082119125151,344614.555294507,148900.946527523,100489.604323878,-80406.5111248626,4.28189672113149e-06,6.84123454176971e-06,5.10326616009959e-15,588,680,1164,648,3080,410.164238250301,312.623178687726,56,73.4886352459032,72,72,55.999999969427,56,56,72,0.560079476295124,1,0,1,8.76876576969502,9,9,35.7822255832957,35.0578428914666,97.5410595625753,174.155746980412,12.1788413467986,0.0637755101343544,6147.1734826775,1,16.537429654742,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,706dcf6615a5556d7dc8f1964fc78c19cc8bee22780bd51f38c36ba0a13945dd,9aa853cf6ccde70cf14482eea37398a897d958364f2e1be0789bd0d640846e1c,2d935d799a30d64aea8e225ee237f0fbf289752296592308be75df7448445e54,6c1c7037479c5576d54264653e9cf2e0484ec83d3bc6e0313f55990174954785
0.56,0.0341519935075209,183.977117054555,159877.920490066,180081.116048734,50137.7158656846,-100845.424987291,4.25160621950212e-06,6.95498800096435e-06,6.03668217738177e-15,588,680,1164,576,3008,387.95423410911,295.965675581833,56,73.4213678709262,72,72,55.9999999694271,56,56,72,0.568480870981677,1,0,1,8.37592546286849,8,8,33.8446520352551,33.189855593462,91.9885585272776,161.814694606043,13.087383535732,0.0637755101343544,5549.06862804988,1,16.655965906802,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,7c53f8d1cdbd1880a3304e7d9d772f3d68f49cbfeb0d7fe04334a19414fea838,fe89b6eb0d00b39417ffa347584fb2b912830f511f65622749ec815a3847cc4c,f512275b7d81027df69e7633af41484dcb34f84acf57ba0ca7fe24f0c9e58dc8,3b06bf46482a96b8dbb8d4b3fd84d2ccec1ac0be076ab7c391cd09308ee34515
0.58,0.0361927021625404,173.60365299507,62029.8548242054,119972.947146439,20866.8431628627,-69584.3093449348,5.58084117096891e-06,9.44572046487906e-06,3.54104662689766e-15,588,680,1164,576,3008,367.20730599014,280.405479492605,56,73.3513119946413,72,72,55.999999969427,56,56,72,0.577121565664313,1,0,1,8.01381091199264,8,8,32.0347154467308,31.4449212858192,86.801826497535,150.404752935578,12.5215795499885,0.0637755101343544,5016.4311909587,1,16.7745876261056,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,898cc1002daa20f7ae4df4b8b90d727d0aebf0acc1041b0b27101ac52d383ebb,de6138d0b5e5690ba79684989cd972d4f1c2e14c5e3b2b58bddad6ebc9dfaf77,b6fcf260dc67c7fdb5592de3f1982c30a4a1c001c37de49e2f25cd2a69215601,35a9978cd88e33cb6a3a15a45c3b0d891d8e7337cd235c02dc4699560c759897
0.59,0.0372504001801555,168.674303545519,58818.6330948453,92969.4043533541,20474.7661803156,-54851.9485684789,6.56387637062052e-06,1.12692922259175e-05,9.50023049402246e-15,588,680,1164,576,3008,357.348607091037,273.011455318278,56,73.3152233111362,72,72,55.999999969427,56,56,72,0.581520712230798,1,0,1,7.84357272437154,8,8,31.1746546343344,30.6157488011449,84.3371517727593,145.028629245603,12.2555823818305,0.0637755101343544,4772.15409891668,1,16.8337744358713,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,91ecc8075a2bc8ef2f5e4542218b51b8c0b4891bdfc0ea9441dfa3a32cf9ccad,53489a5f816d194e5894de40940426053c19cb2b6fede42ac517c4a97e4c2ca6,4db866d98bb23444cdcbf20474e4714f366964b8c4298c0755f44ee2febd7844,f9342f3fe27469b4193a4424a98bf3bb8fe94edbe475ede3e7bc7408b06e7316
0.6,0.0383334964530072,163.908484447332,66110.7347257322,73275.3574121985,23799.8645012636,-43965.2144473191,7.65473717574108e-06,1.32814395152133e-05,7.9938194455553e-15,588,680,1164,576,3008,347.816968894664,265.862726670998,56,73.2784232822463,72,72,55.999999969427,56,56,72,0.585966146147629,1,0,1,7.68020742155536,8,8,30.3431261969067,29.8140839762843,81.954242223666,139.861735635182,12.0003240961803,0.0637755101343544,4541.39081449711,1,16.8927969823343,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1e7259120f71c4df1ef627c9c90a5bd5310f7b2783dc7d8b089ea82dd0a13b25,b9e2b4006911cb5f2c9a3843dd3a45fb5fd6501913e68e912513ab82b0dbbd06,4788e12f86ac94cae652df76b1ab55dda05d8a71786a3bcf71a2d8e1099a7a64,747c5e129be3269e58d158b2c59871cc7dcbf4b9c4d1a5f23e5986568f5c3d9e
0.61,0.0394423052080314,159.300661410129,76732.2108078535,59295.5953427807,28552.0556416023,-36170.3131590962,8.63720999683002e-06,1.52395575967996e-05,1.4896543972521e-14,588,680,1164,576,3008,338.601322820258,258.950992115194,56,73.2409113164326,72,72,55.999999969427,56,56,72,0.590452986945743,1,0,1,7.52347799632107,8,8,29.5391645250241,29.0389958808269,79.6503307050646,134.896990050088,11.7554343692517,0.0637755101343544,4323.33940166031,1,16.9515959455809,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,101b97809f6477b4bf80e91253317fe45d28c590e0a40bd6cfcbe25fd92552cd,8f0c6b9700b96267541cea63e86469852e693933556bbacc01347d622a0b3193,ff57c6d5739981f60c58778eb1b573de0c101ab61fb6e626cc92b788ed622312,cf15f4364cd5f49a2368d46ae8c82b2df4ac130ef2941f6afd0e19cf7dfedd69
0.62,0.0405770877914061,154.845644406012,87730.6098082591,49308.7892497275,33723.6464102948,-30571.449334831,9.64949069574042e-06,1.7250376358087e-05,2.4739211394675e-15,588,680,1164,576,3008,329.691288812024,252.268466609018,56,73.2026889102533,72,72,55.9999999694271,56,56,72,0.594976244107552,1,0,1,7.37315927851968,7,8,28.7618640753371,28.2896114932164,77.4228222030059,130.127585714179,11.520561372687,0.0637755101343544,4117.25628287866,1,17.0101140811431,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,83e8fc61caf5896355c52a634ae0e88decc1fd5450520bd80e612135337a1448,3060c93cddd5ecc3f3812eed21bcfca9b97fb25c5d2fa10ddfd633c08b66a048,133d4003221b0129dff5195299f0789c3f36f0c97dc865c4860303aa7cead29f,849c6ba8500cbb6379de21fdc28c9c89990cbd63608a903fa47be0de5ea14621
0.64,0.0429253478538279,146.374709147972,107355.487400043,36674.5105238388,43972.8076390578,-23471.6867352568,1.26412644933486e-05,2.17342290815372e-05,5.37290460150035e-15,588,680,1164,504,2936,312.749418295944,239.562063721958,56,73.1241292192596,72,72,55.999999969427,56,56,72,0.604111748381001,1,0,1,7.09090183016557,7,7,27.2838760498686,26.8647041079097,73.187354573986,121.148702653318,12.6623246967242,0.0637755101343544,3738.27591335772,1,17.1260906895401,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,302c7e2481888fe53b184adb21ddf8a3cf5badf338890399f1e8184b27e6eb73,4c304d8b22b3eb4a1e109a3469e4591349c648d57a7ffec38bb0c34f480ec4a2,0b7513a689c359f675f4457e6cf562e1da24c53638522909bc60bc17d03b3e11,aec58316513c99685819a70c5749e2f86308cc57f32401a03a5cab72c576ae56
0.66,0.0453792781867687,138.459348809378,123097.578380525,29521.9712075343,53621.3051425568,-19484.5009969727,1.38896434366377e-05,2.60257229948998e-05,2.2723977877037e-15,588,680,1164,504,2936,296.918697618755,227.689023214067,56,73.0427974423933,72,72,55.999999969427,56,56,72,0.613332155567089,1,0,1,6.83180693787135,7,7,25.9028233748871,25.5332507252241,69.2296744046888,112.874685888071,12.1996552461988,0.0637755101343544,3399.45121833596,1,17.2403229156695,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,2b182cc05077c26ea1f941e1d235390504972504290b8af62bc96fd3d8b38ef0,345ee81214864403da58267f3c21a3390ed7c89d470930d343b1b8d5e16c9869,b961747d2669e03816024379e70c3ee3aaba616c9c5fd51d4d380a1a56471a70,7c8b2a4a4351efb8877ea729dcafc3083c8954d98200eb83dc20f14b3cafed10
