omega_rad_s,geometry_mode,physical_k_per_m,wavelength_m,kappa_real_per_m,kappa_imag_per_m,phi3_norm,phi3_area_weighted_norm,phi3_max_abs,phi3_phase_at_max_deg,phi3_probe1_real,phi3_probe1_imag,phi3_probe2_real,phi3_probe2_imag,phi3_probe3_real,phi3_probe3_imag,F33_rad_real_N,F33_rad_imag_N,F33_rad_abs_N,F33_rad_angle_deg,F33_panel_reconstruction_relative_error,A33_kg,B33_kg_s,F3_real_N_per_m,F3_imag_N_per_m,RAO3_real_m_per_m,RAO3_imag_m_per_m,RAO3_abs_m_per_m,RAO3_phase_deg,D3_real_N_per_m,D3_imag_N_per_m,D3_abs_N_per_m,raw_rcond,scaled_rcond,relative_residual,body_panel_count,free_surface_panel_count,bottom_panel_count,farfield_panel_count,total_panel_count,outer_radius_top_m,outer_radius_bottom_m,legacy_theta_count,top_theta_ideal_count,top_theta_candidate_count,top_theta_count,bottom_theta_ideal_count,bottom_theta_candidate_count,bottom_theta_count,common_wall_theta_count,top_radial_ideal_count,top_radial_layer_count,bottom_radial_ideal_count,bottom_radial_layer_count,wall_vertical_ideal_count,wall_vertical_candidate_count,wall_vertical_layer_count,top_theta_spacing_m,bottom_theta_spacing_m,top_radial_spacing_m,bottom_radial_spacing_m,wall_slant_spacing_m,minimum_panel_area_m2,maximum_panel_area_m2,minimum_panel_aspect_ratio,maximum_panel_aspect_ratio,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash,status
0.54,REMESHED,0.0322078996032883,195.082119125151,0.0245848026411116,-0.032282960034499,71.2037949292616,36.7607511845556,3.10440296000848,55.9701832361517,1.86125985010916,2.25579494468024,2.08556400102218,2.01069527942805,2.08465362310889,2.01339880269995,100489.604323878,-80406.5111248626,128698.747501451,-38.6649629040221,3.19809108852873e-16,344614.555294507,148900.946527523,613437.169030578,80700.3214856442,1.00714175480638,-0.000394070466287359,1.00714183190155,-0.0224184662079886,609073.723521252,80406.5111248626,614358.207982375,4.28189672113149e-06,6.84123454176971e-06,5.10326616009959e-15,588,680,1164,648,3080,410.164238250301,312.623178687726,56,73.4886352459032,72,72,55.999999969427,56,56,72,0.560079476295124,1,0,1,8.76876576969502,9,9,35.7822255832957,35.0578428914666,97.5410595625753,174.155746980412,12.1788413467986,0.0637755101343544,6147.1734826775,1,16.537429654742,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,706dcf6615a5556d7dc8f1964fc78c19cc8bee22780bd51f38c36ba0a13945dd,9aa853cf6ccde70cf14482eea37398a897d958364f2e1be0789bd0d640846e1c,2d935d799a30d64aea8e225ee237f0fbf289752296592308be75df7448445e54,6c1c7037479c5576d54264653e9cf2e0484ec83d3bc6e0313f55990174954785,PASS
0.56,REMESHED,0.0341519935075209,183.977117054555,0.0231149967470757,-0.0373749825899558,61.3636676734972,31.6948240192898,2.62463404391494,14.0982538091547,2.25239571798361,1.04609090660203,2.54402089554688,0.638463492359969,2.54434149064922,0.641662772444197,50137.7158656846,-100845.424987291,112621.446861135,-63.5646328880972,1.44462145356577e-16,159877.920490066,180081.116048734,658633.043206603,101339.671266155,1.00782929242224,-0.000417899936961617,1.00782937906407,-0.0237578937766847,653522.043979446,100845.424987291,661257.031499809,4.25160621950212e-06,6.95498800096435e-06,6.03668217738177e-15,588,680,1164,576,3008,387.95423410911,295.965675581833,56,73.4213678709262,72,72,55.9999999694271,56,56,72,0.568480870981677,1,0,1,8.37592546286849,8,8,33.8446520352551,33.189855593462,91.9885585272776,161.814694606043,13.087383535732,0.0637755101343544,5549.06862804988,1,16.655965906802,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,7c53f8d1cdbd1880a3304e7d9d772f3d68f49cbfeb0d7fe04334a19414fea838,fe89b6eb0d00b39417ffa347584fb2b912830f511f65622749ec815a3847cc4c,f512275b7d81027df69e7633af41484dcb34f84acf57ba0ca7fe24f0c9e58dc8,3b06bf46482a96b8dbb8d4b3fd84d2ccec1ac0be076ab7c391cd09308ee34515,PASS
0.58,REMESHED,0.0361927021625404,173.60365299507,0.0294901901906891,-0.0469219296842681,38.9088046406381,20.1115270826456,1.71737615183477,-4.83947465902592,1.50150719982295,0.373064163333729,1.70996920983834,-0.145140151913488,1.71101934193756,-0.142593234866962,20866.8431628627,-69584.3093449348,72645.7242416586,-73.3071389529586,2.50391805234803e-16,62029.8548242054,119972.947146439,682606.922260664,70023.7803625062,1.00880891912096,-0.000266729849625176,1.00880895438275,-0.0151490475628195,676674.673482268,69584.3093449348,680243.0373325,5.58084117096891e-06,9.44572046487906e-06,3.54104662689766e-15,588,680,1164,576,3008,367.20730599014,280.405479492605,56,73.3513119946413,72,72,55.999999969427,56,56,72,0.577121565664313,1,0,1,8.01381091199264,8,8,32.0347154467308,31.4449212858192,86.801826497535,150.404752935578,12.5215795499885,0.0637755101343544,5016.4311909587,1,16.7745876261056,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,898cc1002daa20f7ae4df4b8b90d727d0aebf0acc1041b0b27101ac52d383ebb,de6138d0b5e5690ba79684989cd972d4f1c2e14c5e3b2b58bddad6ebc9dfaf77,b6fcf260dc67c7fdb5592de3f1982c30a4a1c001c37de49e2f25cd2a69215601,35a9978cd88e33cb6a3a15a45c3b0d891d8e7337cd235c02dc4699560c759897,PASS
0.59,REMESHED,0.0372504001801555,168.674303545519,0.0320861242379697,-0.0483780937781962,30.7710364416325,15.9119771012512,1.3680961171154,38.4963829974962,1.16390406186885,0.355493327070195,1.3311228849593,-0.177221496215883,1.33221720752216,-0.174952253063484,20474.7661803156,-54851.9485684789,58548.7174231653,-69.5307409641092,6.21359265788514e-17,58818.6330948453,92969.4043533541,680233.236696036,55240.1941199612,1.00940184858801,-0.000211270740981621,1.0094018706978,-0.0119921730210999,673927.125664815,54851.9485684789,676155.682493757,6.56387637062052e-06,1.12692922259175e-05,9.50023049402246e-15,588,680,1164,576,3008,357.348607091037,273.011455318278,56,73.3152233111362,72,72,55.999999969427,56,56,72,0.581520712230798,1,0,1,7.84357272437154,8,8,31.1746546343344,30.6157488011449,84.3371517727593,145.028629245603,12.2555823818305,0.0637755101343544,4772.15409891668,1,16.8337744358713,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,91ecc8075a2bc8ef2f5e4542218b51b8c0b4891bdfc0ea9441dfa3a32cf9ccad,53489a5f816d194e5894de40940426053c19cb2b6fede42ac517c4a97e4c2ca6,4db866d98bb23444cdcbf20474e4714f366964b8c4298c0755f44ee2febd7844,f9342f3fe27469b4193a4424a98bf3bb8fe94edbe475ede3e7bc7408b06e7316,PASS
0.6,REMESHED,0.0383334964530072,163.908484447332,0.0342966103502954,-0.0497813135681269,25.4233157280059,13.1508645259069,1.24536656788312,47.4834953208313,0.917629545729803,0.416013137435203,1.05399867708319,-0.119966510929267,1.0550582880299,-0.117884786327413,23799.8645012636,-43965.2144473191,49993.7359243862,-61.5718109603897,3.00033006296715e-16,66110.7347257322,73275.3574121985,674082.900165328,44311.456823236,1.01004331317817,-0.000172587277364128,1.01004332792327,-0.00979019648500525,667408.733743867,43965.2144473191,668855.259349129,7.65473717574108e-06,1.32814395152133e-05,7.9938194455553e-15,588,680,1164,576,3008,347.816968894664,265.862726670998,56,73.2784232822463,72,72,55.999999969427,56,56,72,0.585966146147629,1,0,1,7.68020742155536,8,8,30.3431261969067,29.8140839762843,81.954242223666,139.861735635182,12.0003240961803,0.0637755101343544,4541.39081449711,1,16.8927969823343,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1e7259120f71c4df1ef627c9c90a5bd5310f7b2783dc7d8b089ea82dd0a13b25,b9e2b4006911cb5f2c9a3843dd3a45fb5fd6501913e68e912513ab82b0dbbd06,4788e12f86ac94cae652df76b1ab55dda05d8a71786a3bcf71a2d8e1099a7a64,747c5e129be3269e58d158b2c59871cc7dcbf4b9c4d1a5f23e5986568f5c3d9e,PASS
0.61,REMESHED,0.0394423052080314,159.300661410129,0.0362894385063771,-0.0511605619395906,22.393041343147,11.5842352515058,1.21630348563654,56.0556643490875,0.742785464047779,0.503823478111788,0.856917349305956,-0.0308098708725042,0.857914885217891,-0.0288450392558403,28552.0556416023,-36170.3131590962,46081.5737078091,-51.7132082551835,4.73678980256945e-16,76732.2108078535,59295.5953427807,666457.758917188,36485.1739423604,1.01072905493239,-0.000146150584227122,1.01072906549901,-0.0082849222057667,659409.580203528,36170.3131590962,660400.852526873,8.63720999683002e-06,1.52395575967996e-05,1.4896543972521e-14,588,680,1164,576,3008,338.601322820258,258.950992115194,56,73.2409113164326,72,72,55.999999969427,56,56,72,0.590452986945743,1,0,1,7.52347799632107,8,8,29.5391645250241,29.0389958808269,79.6503307050646,134.896990050088,11.7554343692517,0.0637755101343544,4323.33940166031,1,16.9515959455809,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,101b97809f6477b4bf80e91253317fe45d28c590e0a40bd6cfcbe25fd92552cd,8f0c6b9700b96267541cea63e86469852e693933556bbacc01347d622a0b3193,ff57c6d5739981f60c58778eb1b573de0c101ab61fb6e626cc92b788ed622312,cf15f4364cd5f49a2368d46ae8c82b2df4ac130ef2941f6afd0e19cf7dfedd69,PASS
0.62,REMESHED,0.0405770877914061,154.845644406012,0.0381395221006749,-0.0525347516903124,21.0818100959384,10.9036893971022,1.24012050620749,62.9902841927263,0.617868457567234,0.597262882823564,0.715986776755998,0.0655829126686724,0.716917044105228,0.0674801546492269,33723.6464102948,-30571.449334831,45518.1045479569,-42.1932059651154,1.78714996903925e-16,87730.6098082591,49308.7892497275,658372.214741712,30863.8392886767,1.01145908718508,-0.000128276444776653,1.01145909531929,-0.00726643217739546,650937.358234836,30571.449334831,651654.860996355,9.64949069574042e-06,1.7250376358087e-05,2.4739211394675e-15,588,680,1164,576,3008,329.691288812024,252.268466609018,56,73.2026889102533,72,72,55.9999999694271,56,56,72,0.594976244107552,1,0,1,7.37315927851968,7,8,28.7618640753371,28.2896114932164,77.4228222030059,130.127585714179,11.520561372687,0.0637755101343544,4117.25628287866,1,17.0101140811431,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,83e8fc61caf5896355c52a634ae0e88decc1fd5450520bd80e612135337a1448,3060c93cddd5ecc3f3812eed21bcfca9b97fb25c5d2fa10ddfd633c08b66a048,133d4003221b0129dff5195299f0789c3f36f0c97dc865c4860303aa7cead29f,849c6ba8500cbb6379de21fdc28c9c89990cbd63608a903fa47be0de5ea14621,PASS
0.64,REMESHED,0.0429253478538279,146.374709147972,0.0415602558713958,-0.0553137086707393,21.4468624644132,11.0841649126497,1.35142500040615,72.0507524056496,0.459827676485985,0.773507501843886,0.537725019272746,0.248343747920505,0.538534783994518,0.250196424878092,43972.8076390578,-23471.6867352568,49845.0387687642,-28.0922877047849,3.64928877271882e-16,107355.487400043,36674.5105238388,642185.68655315,23738.354152178,1.01306065157035,-0.000109166978843131,1.01306065745225,-0.00617416846266724,633925.928206073,23471.6867352568,634360.309705871,1.26412644933486e-05,2.17342290815372e-05,5.37290460150035e-15,588,680,1164,504,2936,312.749418295944,239.562063721958,56,73.1241292192596,72,72,55.999999969427,56,56,72,0.604111748381001,1,0,1,7.09090183016557,7,7,27.2838760498686,26.8647041079097,73.187354573986,121.148702653318,12.6623246967242,0.0637755101343544,3738.27591335772,1,17.1260906895401,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,302c7e2481888fe53b184adb21ddf8a3cf5badf338890399f1e8184b27e6eb73,4c304d8b22b3eb4a1e109a3469e4591349c648d57a7ffec38bb0c34f480ec4a2,0b7513a689c359f675f4457e6cf562e1da24c53638522909bc60bc17d03b3e11,aec58316513c99685819a70c5749e2f86308cc57f32401a03a5cab72c576ae56,PASS
0.66,REMESHED,0.0453792781867687,138.459348809378,0.0447406643757374,-0.0581808777391302,23.481686830045,12.1285874016401,1.48285128581246,77.0120895389826,0.370367179490842,0.927601759544698,0.437188049050133,0.408103025248117,0.437909186657963,0.409979802915318,53621.3051425568,-19484.5009969727,57051.644536264,-19.9697464257398,1.80358656106564e-16,123097.578380525,29521.9712075343,626465.54931111,19742.652406112,1.01487194841842,-0.000104408033758057,1.01487195378906,-0.00589447729815956,617300.486702574,19484.5009969727,617607.914993271,1.38896434366377e-05,2.60257229948998e-05,2.2723977877037e-15,588,680,1164,504,2936,296.918697618755,227.689023214067,56,73.0427974423933,72,72,55.999999969427,56,56,72,0.613332155567089,1,0,1,6.83180693787135,7,7,25.9028233748871,25.5332507252241,69.2296744046888,112.874685888071,12.1996552461988,0.0637755101343544,3399.45121833596,1,17.2403229156695,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,2b182cc05077c26ea1f941e1d235390504972504290b8af62bc96fd3d8b38ef0,345ee81214864403da58267f3c21a3390ed7c89d470930d343b1b8d5e16c9869,b961747d2669e03816024379e70c3ee3aaba616c9c5fd51d4d380a1a56471a70,7c8b2a4a4351efb8877ea729dcafc3083c8954d98200eb83dc20f14b3cafed10,PASS
