stage,mesh_level,omega_rad_s,component,panel_count,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,mean_sqrt_area_m,median_sqrt_area_m,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,minimum_corner_angle_deg,maximum_corner_angle_deg,maximum_warp_deg,poor_panel_count,poor_panel_fraction,finite_positive_geometry,component_gate_pass,component_gate_status
mesh_audit,MESH_L1,0.5,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,1,PASS
mesh_audit,MESH_L1,0.5,free_surface,928,2.36408675089334,10615.7244829658,1427.55091189063,35.8411748955928,37.782944701591,0.980171403034624,25.701280867429,58.9273439968566,32.8947286222387,148.927343996857,0,152,0.163793103448276,1,0,FAIL
mesh_audit,MESH_L1,0.5,bottom,1120,0.195312500007431,10615.7244829658,591.873653224985,21.1104803877294,24.3284533007532,0.44194173825,25.701280867429,70.8956936853898,19.1043063146102,148.927343996857,0,684,0.610714285714286,1,0,FAIL
mesh_audit,MESH_L1,0.5,farfield,640,899.320777071722,1149.74841990084,1024.53459848628,31.9839217880114,32.0076141672923,17.222895990317,3.92729408680788,2.69128087163263,87.3087191283674,92.6912808716326,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L2,0.5,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,1,PASS
mesh_audit,MESH_L2,0.5,free_surface,1480,0.453032021121311,9531.32391842816,914.426725864261,27.1570328783146,30.239483567119,0.784590956591433,122.201862485027,85.2216546133449,4.77834538665509,165.890024473766,180,304,0.205405405405405,1,0,FAIL
mesh_audit,MESH_L2,0.5,bottom,1780,0.125000000004756,9531.32391842816,374.454739980541,15.7890933807536,19.3508330565002,0.3535533906,122.201862485027,85.2216546133449,4.77834538665509,165.890024473766,180,1112,0.624719101123596,1,0,FAIL
mesh_audit,MESH_L2,0.5,farfield,1120,511.90348901753,659.62794294446,585.765715980993,24.1840326447538,24.2023126588883,12.3020685645121,4.3992054270044,2.15305096996528,87.8469490300348,92.1530509699653,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L3,0.5,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,1,PASS
mesh_audit,MESH_L3,0.5,free_surface,2856,0.812053586086611,5621.91783210258,468.755394610188,20.3313735564903,21.6507596774288,0.560704471902171,12.1922444288728,57.4436284107916,32.5563715892084,93.546512681032,0,464,0.162464985994398,1,0,FAIL
mesh_audit,MESH_L3,0.5,bottom,3444,0.0637755102065082,5621.91783210258,193.012367451728,11.9161269220708,13.8928890966468,0.252538136142857,12.1922444288728,71.4916806052722,18.5083193947278,135,0,2052,0.59581881533101,1,0,FAIL
mesh_audit,MESH_L3,0.5,farfield,1904,300.67173553503,388.78963386756,344.730684701295,18.5526589885329,18.5669244814884,10.1311152884218,3.81611776992685,1.5379098809957,88.4620901190043,91.5379098809957,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L1,0.6,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,1,PASS
mesh_audit,MESH_L1,0.6,free_surface,928,2.36408675089334,6169.79775105622,815.218566122818,27.1801675154528,28.5520324828185,0.980171403034624,18.0526645129627,57.2328716481462,32.7671283518538,144.885571422758,0,136,0.146551724137931,1,0,FAIL
mesh_audit,MESH_L1,0.6,bottom,1120,0.195312500007431,6169.79775105622,342.250559572117,16.1356221134349,18.5000149169882,0.44194173825,18.0526645129627,70.8956936853897,19.1043063146103,144.885571422758,0,652,0.582142857142857,1,0,FAIL
mesh_audit,MESH_L1,0.6,farfield,512,661.041211130503,835.970684693898,748.505947912199,27.3387591209643,27.3578836725403,16.5888328833004,3.08639610911754,2.60510139935106,87.3948986006489,92.605101399351,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L2,0.6,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,1,PASS
