stage,mesh_level,omega_rad_s,component,panel_count,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,mean_sqrt_area_m,median_sqrt_area_m,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,minimum_corner_angle_deg,maximum_corner_angle_deg,maximum_warp_deg,poor_panel_count,poor_panel_fraction,finite_positive_geometry,component_gate_pass,component_gate_status
mesh_audit,MESH_L1,0.5,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,1,PASS
mesh_audit,MESH_L1,0.5,free_surface,544,2.36408675089334,10615.7244829658,2857.62231413394,44.8907470645645,53.456732940259,0.980171403034624,25.701280867429,58.9273439968566,39.626430143411,148.927343996857,0,64,0.117647058823529,1,0,FAIL
mesh_audit,MESH_L1,0.5,bottom,736,0.195312500007431,10615.7244829658,1119.59245666022,24.2175788980125,33.460267239229,0.44194173825,25.701280867429,58.9273439968566,36.7753136176158,148.927343996857,0,64,0.0869565217391304,1,0,FAIL
mesh_audit,MESH_L1,0.5,farfield,640,899.320777071722,1149.74841990084,1024.53459848628,31.9839217880114,32.0076141672923,17.222895990317,3.92729408680788,2.69128087163263,87.3087191283674,92.6912808716326,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L2,0.5,body,432,0.321027789917262,0.424139800913578,0.354274871432336,0.601302514923775,0.595209892571464,0.463957612465971,1.40967897598108,29.6535074685025,64.3710106871361,119.653507468503,5.6671133291532,0,0,1,1,PASS
mesh_audit,MESH_L2,0.5,free_surface,960,0.945867099522403,7782.05653264232,1910.1516163546,30.9119924240799,43.7052813325186,0.654031291719458,41.1886958132035,61.6167942027077,28.3832057972923,96.8609439928666,0,528,0.55,1,0,FAIL
mesh_audit,MESH_L2,0.5,bottom,1392,0.0868055555588584,7782.05653264232,9.74111154410831,15.5327982136471,3.1210753826379,0.2946278255,41.1886958132035,51.147372089995,38.852627910005,135,0,48,0.0344827586206897,1,1,PASS
mesh_audit,MESH_L2,0.5,farfield,1344,426.711827999919,549.851781385335,488.281804692623,22.0801498364179,22.0968395860982,12.3020685645122,3.66629246554515,1.7942210288447,88.2057789711553,91.7942210288446,1.70754729250319e-06,0,0,1,1,PASS
mesh_audit,MESH_L3,0.5,body,768,0.178232515452337,0.239611932954505,0.203152084606254,0.451336871143543,0.450723956104237,0.347588311854447,1.41166065294726,29.8008632142966,63.2737137578148,119.800863214297,4.4954567341475,0,0,1,1,PASS
mesh_audit,MESH_L3,0.5,free_surface,1472,0.503836563804933,4807.98595538386,1432.97799966112,24.6019658671991,37.854695727744,0.490676742904966,12.744341371996,68.087355481256,21.912644518744,93.3000269831747,0,704,0.478260869565217,1,0,FAIL
