omega_rad_s,level_count,body_panel_counts,free_surface_panel_counts,bottom_panel_counts,farfield_panel_counts,body_count_changes,free_surface_count_changes,bottom_count_changes,farfield_count_changes,body_h_strictly_decreases,free_surface_h_strictly_decreases,bottom_h_strictly_decreases,wall_h_strictly_decreases,transition_h_strictly_decreases,component_geometry_hashes_distinct,outer_extent_fixed,physics_hash_fixed,source_hash_fixed,operator_hash_isolation,geometry_control_isolation
0.5,3,108|300|588,248|440|828,300|660|1308,392|800|1512,1,1,1,1,1,0,0,1,0,1,1,1,1,PENDING_SENTINEL_ASSEMBLY,FAIL
0.6,3,108|300|588,248|440|828,300|660|1308,336|640|1188,1,1,1,1,1,0,1,1,1,1,1,1,1,PENDING_SENTINEL_ASSEMBLY,FAIL
1,3,108|300|588,248|440|936,300|740|1416,168|320|648,1,1,1,1,1,1,1,1,1,1,1,1,1,PENDING_SENTINEL_ASSEMBLY,PASS
1.4,3,108|300|588,248|520|1044,356|740|1416,168|320|540,1,1,1,1,1,1,1,1,1,1,1,1,1,PENDING_SENTINEL_ASSEMBLY,PASS
1.5,3,108|300|588,248|520|1044,356|740|1524,168|320|540,1,1,1,1,1,1,1,1,1,1,1,1,1,PENDING_SENTINEL_ASSEMBLY,PASS
2,3,108|300|588,304|600|1152,356|820|1524,112|240|432,1,1,1,1,1,1,1,1,1,1,1,1,1,PENDING_SENTINEL_ASSEMBLY,PASS
