stage,mesh_level,omega_rad_s,bem_unknown_count,mesh_generation_runtime_s,assembly_runtime_s,solve_runtime_s,total_runtime_s,peak_memory_bytes,memory_measurement_status,estimated_dense_complex_matrix_bytes,solve_status
mesh_audit,MESH_L1,0.5,2112,0.5340673,NaN,NaN,0.5340673,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,71368704,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,0.5,4128,0.467467,NaN,NaN,0.467467,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,272646144,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,0.5,7168,0.7108951,NaN,NaN,0.7108951,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,822083584,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,0.6,1984,0.195753,NaN,NaN,0.195753,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,62980096,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,0.6,3840,0.4454862,NaN,NaN,0.4454862,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,235929600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,0.6,6528,0.5876761,NaN,NaN,0.5876761,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,681836544,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1,1728,0.1751369,NaN,NaN,0.1751369,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,47775744,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1,3360,0.3190332,NaN,NaN,0.3190332,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,180633600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1,5504,0.5225049,NaN,NaN,0.5225049,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,484704256,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1.4,1728,0.1749492,NaN,NaN,0.1749492,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,47775744,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1.4,3264,0.3143756,NaN,NaN,0.3143756,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,170459136,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1.4,5376,0.4712694,NaN,NaN,0.4712694,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,462422016,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1.5,1728,0.1730574,NaN,NaN,0.1730574,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,47775744,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1.5,3264,0.2952311,NaN,NaN,0.2952311,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,170459136,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1.5,5376,0.5063071,NaN,NaN,0.5063071,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,462422016,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,2,1664,0.1420669,NaN,NaN,0.1420669,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,44302336,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,2,3168,0.2803969,NaN,NaN,0.2803969,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,160579584,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,2,5480,0.5076238,NaN,NaN,0.5076238,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,480486400,NOT_RUN_MESH_AUDIT
