study,level,omegaRadPerSecond,rawAReciprocityResidual,rawBReciprocityResidual,pressureEnergyMatrixResidual,pressureEnergyB33Residual,maxRadiationLinearResidual,maxDiffractionLinearResidual
BodyMesh,Coarse,0.5,4.94178744921487e-05,0.000225107344539571,0.998671291293123,0.998671061764083,5.91859537226571e-16,5.42790410998785e-16
BodyMesh,Coarse,0.6,6.14077831911557e-05,0.000303283606778471,0.997186277177763,0.997184478956341,6.35725053927343e-16,6.63472283135967e-16
BodyMesh,Coarse,0.7,0.000111676570207552,0.000379652370517201,0.972779913897951,0.972700131171679,1.23337465937193e-15,1.26878130598806e-15
BodyMesh,Coarse,0.8,0.00010367514724088,0.000129111832575688,0.989672142803659,0.989613583422777,4.86589715952724e-15,7.10897918322055e-15
BodyMesh,Coarse,0.9,0.000160057059500345,0.00235398278138348,0.99361601081461,0.994950090018009,4.89142452343114e-15,2.06472830190716e-15
BodyMesh,Coarse,1,5.24306015103459e-05,0.000112611486957143,0.977926726256098,0.976155934562163,6.01393496478311e-15,2.84538585420241e-15
BodyMesh,Coarse,1.1,4.41949797197448e-05,5.22225663919572e-06,0.370044279781363,0.36139200795005,4.60447089818035e-14,5.47610557444815e-14
BodyMesh,Coarse,1.2,2.80596119493353e-05,0.000398518812860734,0.979022262985446,0.978092437892608,5.66614088181031e-15,1.16471256709156e-14
BodyMesh,Coarse,1.3,0.000430180189570465,0.000429128165576006,0.822823612296698,0.988917397641569,7.49574203028452e-15,6.44218956386381e-15
BodyMesh,Coarse,1.4,0.000145919648199828,6.29260851487177e-05,0.990539644839741,0.987408977952169,3.26056662700164e-15,3.63209382743712e-15
BodyMesh,Coarse,1.5,0.000139897102301325,0.000153581784698698,0.995953985734151,0.963440132256617,3.13001326221867e-15,7.87082168974797e-15
BodyMesh,Coarse,1.6,0.00015435355364828,0.000134887155983149,0.996774603421698,0.981534992657379,4.22990684948828e-15,1.15652733716e-14
BodyMesh,Coarse,1.7,0.000334651992101495,9.94089841505011e-05,0.961500777228199,0.933094044622582,2.29377205864967e-14,6.87163744165829e-14
BodyMesh,Coarse,1.8,0.00114099583454316,0.000977471491934067,0.891625014792891,0.929281753823126,2.95770793284338e-14,5.5712017032564e-15
BodyMesh,Coarse,1.9,2.3586561317482e-05,0.00112505853481156,0.997434172675312,0.833946996132038,2.79157528555828e-15,3.15051168729375e-15
BodyMesh,Coarse,2,7.52022039594974e-05,0.00126214273516693,0.999099473614204,0.99670156929293,2.34995856610999e-15,2.46620097716869e-15
BodyMesh,Medium,0.5,3.51732756912922e-05,0.000239624076293194,0.998693701032479,0.998693468033284,4.6671613989229e-16,4.57824709770184e-16
BodyMesh,Medium,0.6,5.2578539995168e-05,0.000324024714826014,0.997228755757838,0.997226934898825,5.62087838385193e-16,5.12571101499193e-16
BodyMesh,Medium,0.7,0.000114231071654443,0.000403965019711736,0.973225813419298,0.973145563384625,9.48148288423622e-16,1.00929114920478e-15
BodyMesh,Medium,0.8,0.000106996264439885,0.000133482017459426,0.989778561017917,0.989718469964194,9.97972185276339e-16,2.78611848637606e-15
BodyMesh,Medium,0.9,0.000106869626490534,0.00184630835194558,0.993713764443809,0.995012992538784,1.78763309196236e-15,3.38010605004985e-15
BodyMesh,Medium,1,9.89367944094733e-06,4.50669568589842e-05,0.978333650365114,0.97652604441039,1.4730780092746e-15,3.48365669158318e-15
BodyMesh,Medium,1.1,9.3570230939402e-06,5.57303846888818e-06,0.355538804537799,0.345824914421521,3.8869509055563e-14,9.70913079035927e-14
BodyMesh,Medium,1.2,1.18067456580614e-06,0.000108078627654286,0.97938532681556,0.978105384328372,2.52945919098295e-15,7.44089528767125e-15
BodyMesh,Medium,1.3,9.23131518892692e-05,9.28973073153749e-05,0.822573001894561,0.98893195481257,7.78423431346799e-15,4.31261180691842e-15
BodyMesh,Medium,1.4,3.13748219696181e-05,2.7128273908537e-05,0.990986679161446,0.987417026006109,2.21169230015122e-15,2.54048029153381e-15
BodyMesh,Medium,1.5,3.34212067555681e-05,8.58229971944162e-05,0.996173214251243,0.963480760351666,5.03582495274479e-15,3.52593894232036e-15
BodyMesh,Medium,1.6,4.21710012503929e-05,5.95784555370729e-05,0.996945204357331,0.978885813129765,1.21883341460216e-14,6.2087585414096e-15
BodyMesh,Medium,1.7,0.000108579091959784,3.99158635305669e-05,0.96220459902894,0.929932413680629,1.50879958990674e-14,2.0752139547884e-14
BodyMesh,Medium,1.8,0.000484342443293611,0.000392640511533464,0.894563536766416,0.92219770096745,1.7254330246283e-14,4.88296404656376e-15
BodyMesh,Medium,1.9,3.37906159771284e-05,0.000443126666709659,0.997549732447677,0.867191591484245,2.02378785164626e-15,1.70795129842658e-15
BodyMesh,Medium,2,6.46458445289124e-06,0.000493101616825598,0.999141553663765,0.996953266849461,2.01828943293855e-15,2.30277760194843e-15
BodyMesh,Fine,0.5,3.58545339865736e-05,0.000245605705945039,0.998698772669381,0.998698538503589,4.20291157254084e-16,4.16976939033772e-16
BodyMesh,Fine,0.6,5.35540400009462e-05,0.000332106020410548,0.997238454512221,0.99723662669443,4.70932479631126e-16,4.58324692896709e-16
BodyMesh,Fine,0.7,0.000116582555775032,0.000413202423425147,0.973340038075863,0.973259699574295,7.21797402464451e-16,8.04493470561752e-16
BodyMesh,Fine,0.8,0.000110096192142181,0.000136002968468771,0.989796861144313,0.989736283387699,2.05959587895926e-15,1.81608242261173e-15
BodyMesh,Fine,0.9,0.00010677953536994,0.00184488747324675,0.993744558076435,0.995026418604613,1.16984507073877e-15,1.74372052760548e-15
BodyMesh,Fine,1,8.00824203232256e-06,3.57101154061807e-05,0.978441061142337,0.976622662558842,1.06289705163593e-15,2.90258982926645e-15
BodyMesh,Fine,1.1,8.35913558458698e-06,5.7367592182812e-06,0.347823906887602,0.337693943068201,6.0475174162031e-14,1.0120368949535e-13
BodyMesh,Fine,1.2,3.75029923491592e-06,5.67990546477957e-05,0.97948749951345,0.978068614655438,4.09231086661525e-15,2.19976444174633e-15
BodyMesh,Fine,1.3,4.44783318842131e-05,5.31232557500505e-05,0.822853021844635,0.988920428799255,3.1154277334853e-15,1.87782479925739e-15
BodyMesh,Fine,1.4,1.22250387859806e-05,8.21246769881953e-06,0.991143901974385,0.98740710154913,1.11527618118937e-15,1.80131638067969e-15
BodyMesh,Fine,1.5,1.31910131220811e-05,3.92869151444923e-05,0.996248415100335,0.963504630751388,2.52158188133994e-15,1.88810108798301e-15
