quantity,medianMediumRelativeError,medianFineRelativeError,rmsMediumRelativeError,rmsFineRelativeError,medianAbsMediumFineOverCoarseMedium,fineCloserFrequencyFraction,fineCloserOverall
A33,0.00443934177541796,0.00224334891315301,0.0115266815375574,0.0114800216925974,0.280361936329201,0.9375,1
B33,0.00359752705079887,0.00362660072497878,0.0189390459481367,0.0147713928795879,0.204747024528272,0.5625,1
F3,0.00413896031954352,0.00224501662163,0.0214901682692884,0.0123785800988755,0.276752030743447,1,1
RAO3,0.00776591099267582,0.00266622264478079,0.439336742133115,0.25025953519389,0.276170954044891,1,1
