level,panelCount,vertexCount,characteristicSizeM,computedAreaM2,analyticalAreaM2,areaRelativeError,computedVolumeM3,analyticalVolumeM3,volumeRelativeError,buoyancyCenterXM,buoyancyCenterYM,buoyancyCenterZM,buoyancyCenterErrorM,normalIntegralRelativeResidual,surfaceIdentityRelativeResidual,minimumNormalAlignment,outwardNormalFraction,maximumVertexRadiusErrorM,integrationTolerance,allChecksPassed,meshHash
Coarse,108,121,1.1970141330561,154.747026151493,157.07963267949,0.0148498343687633,254.067014758736,261.799387799149,0.0295354893890943,-1.39833723876914e-17,1.04875292907686e-17,-1.85822671637236,0.0167732836276422,0.0056920352797769,0.0295354893890944,0.999951213295909,1,6.07689898401986e-10,0.143284283473605,1,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37
Medium,300,321,0.721650583949818,156.233869594534,157.07963267949,0.00538429502621423,258.985855846659,261.799387799149,0.0107469004268621,-2.40061331441282e-17,-1.54325141640824e-17,-1.86891405830995,0.00608594169004806,0.00205363239111653,0.0107469004268616,0.999993220396276,1,7.43388461899031e-10,0.0520779565315113,1,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1
Fine,588,617,0.516146222830692,156.647270925326,157.07963267949,0.00275250041516238,260.359667879766,261.799387799149,0.00549932500410399,8.86951466033802e-17,7.33440635374105e-17,-1.87188817417351,0.00311182582648661,0.00104840495471234,0.00549932500410407,0.999998182683481,1,6.18437745458777e-10,0.0266406923342391,1,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5
