omegaRadPerSecond,level,quantity,characteristicMeshSizeM,value,zeroMeshExtrapolate,absoluteErrorToExtrapolate,coarseMinusMedium,mediumMinusFine
0.5,Coarse,A33,1.1970141330561,167237.741972358,168989.432133083,1751.69016072524,-1000.37288020161,-308.176593362936
0.5,Coarse,B33,1.1970141330561,37.296776242844,37.2354465289611,0.0613297138828912,0.153761235066781,0.0136906653544315
0.5,Coarse,F3,1.1970141330561,677175.874013075,683851.003681794,6675.12966871914,-4339.13158854854,-1187.23818460095
0.5,Coarse,RAO3,1.1970141330561,1.00832488585011,1.00556476510103,0.0027601207490775,0.00177426947861381,0.000490427959784157
0.5,Medium,A33,0.721650583949818,168238.11485256,168989.432133083,751.317280523625,-1000.37288020161,-308.176593362936
0.5,Medium,B33,0.721650583949818,37.1430150077772,37.2354465289611,0.0924315211838902,0.153761235066781,0.0136906653544315
0.5,Medium,F3,0.721650583949818,681515.005601623,683851.003681794,2335.9980801706,-4339.13158854854,-1187.23818460095
0.5,Medium,RAO3,0.721650583949818,1.00655061637149,1.00556476510103,0.000985851270463689,0.00177426947861381,0.000490427959784157
0.5,Fine,A33,0.516146222830692,168546.291445923,168989.432133083,443.140687160689,-1000.37288020161,-308.176593362936
0.5,Fine,B33,0.516146222830692,37.1293243424228,37.2354465289611,0.106122186538322,0.153761235066781,0.0136906653544315
0.5,Fine,F3,0.516146222830692,682702.243786224,683851.003681794,1148.75989556964,-4339.13158854854,-1187.23818460095
0.5,Fine,RAO3,0.516146222830692,1.00606018841171,1.00556476510103,0.000495423310679532,0.00177426947861381,0.000490427959784157
0.6,Coarse,A33,1.1970141330561,175122.210186613,176855.055266541,1732.8450799275,-970.897049172549,-304.40396498068
0.6,Coarse,B33,1.1970141330561,116.776924004312,116.695238211608,0.0816857927046328,0.355405299270899,0.0219143108597564
0.6,Coarse,F3,1.1970141330561,630154.423268882,635898.788830648,5744.36556176667,-3766.74154497427,-1022.49016342452
0.6,Coarse,RAO3,1.1970141330561,1.01501504102317,1.01077208904242,0.00424295198075142,0.00272991625184749,0.000753962447802126
0.6,Medium,A33,0.721650583949818,176093.107235786,176855.055266541,761.948030754953,-970.897049172549,-304.40396498068
0.6,Medium,B33,0.721650583949818,116.421518705042,116.695238211608,0.273719506566266,0.355405299270899,0.0219143108597564
0.6,Medium,F3,0.721650583949818,633921.164813856,635898.788830648,1977.6240167924,-3766.74154497427,-1022.49016342452
0.6,Medium,RAO3,0.721650583949818,1.01228512477132,1.01077208904242,0.00151303572890393,0.00272991625184749,0.000753962447802126
0.6,Fine,A33,0.516146222830692,176397.511200767,176855.055266541,457.544065774273,-970.897049172549,-304.40396498068
0.6,Fine,B33,0.516146222830692,116.399604394182,116.695238211608,0.295633817426022,0.355405299270899,0.0219143108597564
0.6,Fine,F3,0.516146222830692,634943.65497728,635898.788830648,955.133853367879,-3766.74154497427,-1022.49016342452
