mesh_level,mesh_level_index,omega_rad_s,topology_mode,component,panel_count,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,mean_sqrt_area_m,median_sqrt_area_m,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,minimum_corner_angle_deg,maximum_corner_angle_deg,maximum_warp_deg,poor_panel_count,poor_panel_fraction,finite_positive_geometry,duplicate_panel_count,component_gate_pass,component_gate_status,requested_near_radial_step_m,realized_near_radial_step_m,requested_outer_radial_step_max_m,realized_outer_radial_step_m,configured_outer_radial_layer_count,realized_outer_radial_layer_count,base_theta_count,final_wall_theta_count,transition_median_sqrt_area_m,manifold_status,orientation_status,waterline_status,self_intersection_status,runtime_provenance
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,23.6104876369919,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,free_surface,1280,5.02967236261267,1956.31295166354,1287.41582483711,32.0246697379892,35.8778361975258,0.980171403034624,7.64297917957749,50.0884070565902,39.9115929434098,95.6250000282519,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,23.6104876369919,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,bottom,1088,0.195312500007431,1956.31295166354,992.821632235225,23.5513430613392,31.4783414976072,0.44194173825,7.64297917957749,50.0884070565902,39.9115929434098,135,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,23.6104876369919,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,farfield,640,899.320777071722,1149.74841990084,1024.53459848628,31.9839217880114,32.0076141672923,17.222895990317,3.92729408680788,2.69128087163261,87.3087191283674,92.6912808716326,1.70754729250319e-06,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,23.6104876369919,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,18.5653512431073,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,free_surface,2000,3.05047206555219,1244.36146702743,825.876958836753,25.6256787567735,28.7368729182453,0.784590956591433,7.50215539383532,50.3387218180802,39.6612781819198,96.1774436059458,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,18.5653512431073,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,bottom,1740,0.125000000004756,1244.36146702743,651.012147471768,18.7363078150501,25.5149396917133,0.3535533906,7.50215539383532,50.3387218180802,39.6612781819198,135,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,18.5653512431073,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,farfield,1120,511.903489017531,659.627942944461,585.765715980993,24.1840326447538,24.2023126588883,12.3020685645122,4.39920542700438,2.15305096996528,87.8469490300347,92.1530509699653,1.70754729250319e-06,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,18.5653512431073,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,0.5,QUALITY_CONTROLLED_V2,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.3485738688636,4,19,56,112,13.3598030932429,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,0.5,QUALITY_CONTROLLED_V2,free_surface,3696,1.74944493785932,662.266770592071,445.8002385958,18.9421793892964,21.1131180106905,0.560704471902171,7.73516831844286,49.2101257925877,40.7898742074123,95.205965807489,0,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.3485738688636,4,19,56,112,13.3598030932429,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
