omega_rad_s,q_top,q_bottom,body_expected_hash,body_actual_hash,free_surface_expected_hash,free_surface_actual_hash,bottom_expected_hash,bottom_actual_hash,farfield_expected_hash,farfield_actual_hash,combined_expected_hash,combined_actual_hash,exact_hash_regression,status
0.5,3.04550654654256,2.29550654654256,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,811672f21f4027aec790f84963aa2e0bdfb23bf057bb58ff91730706f774e359,811672f21f4027aec790f84963aa2e0bdfb23bf057bb58ff91730706f774e359,e7ac3ed4b48d5abe9fdff40db5354aac05725bc6af0b84f087c981d0432521c5,e7ac3ed4b48d5abe9fdff40db5354aac05725bc6af0b84f087c981d0432521c5,f34f783b28c6a4c038153481a602c640f65dd0dd88d17717b9f79fdb4aa56614,f34f783b28c6a4c038153481a602c640f65dd0dd88d17717b9f79fdb4aa56614,6b3e3c519a8749b76f552177d8f08e0f719623fe665bfa5a3957cd47c8a61f31,6b3e3c519a8749b76f552177d8f08e0f719623fe665bfa5a3957cd47c8a61f31,1,PASS
0.6,3.06100965446492,2.31100965446492,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,60bca37b57c5467ada0b7c4ba9670ccc107063ef4d4611751f7dd78a9e278cc7,60bca37b57c5467ada0b7c4ba9670ccc107063ef4d4611751f7dd78a9e278cc7,a53ccd2c4b8155eb40d1034090cd15fbc780f715f48c947cad9817c04654c19f,a53ccd2c4b8155eb40d1034090cd15fbc780f715f48c947cad9817c04654c19f,5f0b9773a39c9cdc05cc659e5b07c41408caf5eccd84b3c09b52e71c5d5b0f8c,5f0b9773a39c9cdc05cc659e5b07c41408caf5eccd84b3c09b52e71c5d5b0f8c,f251c77e23ca76e2e05c4fe9613f9dafbc6161c22a283e82d224b06b21cd57e2,f251c77e23ca76e2e05c4fe9613f9dafbc6161c22a283e82d224b06b21cd57e2,1,PASS
1.2,3.23370193734886,2.48370193734886,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,c7bec8840cf7e83038ded4d5aa415e49ba0945dccd065a369a4750e6f8469102,c7bec8840cf7e83038ded4d5aa415e49ba0945dccd065a369a4750e6f8469102,42dedd36b765159024c53bd34d88e8f2658a99aae181ac487fd93b0a9be00408,42dedd36b765159024c53bd34d88e8f2658a99aae181ac487fd93b0a9be00408,a283625743694eeb423613af02cd73cb88aca76b7623e4ec89014c43c45ba7f0,a283625743694eeb423613af02cd73cb88aca76b7623e4ec89014c43c45ba7f0,c9aabde430a02f4ecbe0db5bff9b919e18f77ba952ebaca7b6837b5f590ef977,c9aabde430a02f4ecbe0db5bff9b919e18f77ba952ebaca7b6837b5f590ef977,1,PASS
1.4,3.3180940379881,2.5680940379881,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,27a166c8d1654c400cb5f579db431fb7852feab9166aabba158bdea62c1cdebe,27a166c8d1654c400cb5f579db431fb7852feab9166aabba158bdea62c1cdebe,0f8f7e6765de2c980d09826be1ccb95b1cb4b77ff17f26d9c7314166fe758a98,0f8f7e6765de2c980d09826be1ccb95b1cb4b77ff17f26d9c7314166fe758a98,8e79a98497de4f7aac412011dff12f1436bca1a65c38c9c73dd3e521e95903ba,8e79a98497de4f7aac412011dff12f1436bca1a65c38c9c73dd3e521e95903ba,8a0925261c7ba86ec05de18111595be2dd289e6a3f023c59fb59d2a0439ff44a,8a0925261c7ba86ec05de18111595be2dd289e6a3f023c59fb59d2a0439ff44a,1,PASS
2,3.64917150338554,2.89917150338554,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,5ef04893e5f07a0a3b40a8ce2bcca78cdf1c74d357b1d560b1bb34584ca25b1e,5ef04893e5f07a0a3b40a8ce2bcca78cdf1c74d357b1d560b1bb34584ca25b1e,a133996ce3aa6e2f50809afb277d23fd9ab96e0ed187582a636f55e35f18d19e,a133996ce3aa6e2f50809afb277d23fd9ab96e0ed187582a636f55e35f18d19e,58eab8d4c2d96dcbee52771b451fa820ea6cd43f629e211ac7ec1e73fd89cc52,58eab8d4c2d96dcbee52771b451fa820ea6cd43f629e211ac7ec1e73fd89cc52,f0f1643acd0c78d82c4f770ecfaca948542f9244dc630ebf703f85fc5961060e,f0f1643acd0c78d82c4f770ecfaca948542f9244dc630ebf703f85fc5961060e,1,PASS
