stage,mesh_level,mesh_level_index,nested_mesh,eta_control,omega_rad_s,wavelength_m,body_division_count,fs_near_radial_count,fs_sponge_radial_count,bottom_near_radial_count,bottom_sponge_radial_count,configured_wall_vertical_count,configured_wall_theta_count,configured_fs_theta_count,configured_bottom_theta_count,actual_wall_vertical_layer_count,actual_wall_theta_count,actual_fs_theta_count,actual_bottom_theta_count,body_panel_count,free_surface_panel_count,bottom_panel_count,farfield_panel_count,total_panel_count,body_mean_sqrt_area_m,body_median_sqrt_area_m,fs_mean_sqrt_area_m,fs_median_sqrt_area_m,bottom_mean_sqrt_area_m,bottom_median_sqrt_area_m,wall_mean_sqrt_area_m,wall_median_sqrt_area_m,transition_mean_sqrt_area_m,transition_median_sqrt_area_m,transition_panel_count,global_equivalent_h_m,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,maximum_warp_deg,worst_poor_panel_fraction,unique_vertex_count,unique_edge_count,minimum_edge_multiplicity,maximum_edge_multiplicity,nonmanifold_edge_count,duplicate_panel_count,triangle_duplicate_vertex_count,unexpected_within_panel_duplicate_vertex_count,euler_characteristic,manifold_status,normal_orientation_status,waterline_continuity_status,maximum_interface_gap_m,self_intersection_audit,self_intersection_status,actual_top_outer_radius_m,actual_bottom_outer_radius_m,target_top_outer_radius_m,target_bottom_outer_radius_m,water_depth_m,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash,operator_hash,production_source_hash,physical_state_hash,mesh_control_hash,config_raw_sha256,body_bmf_raw_sha256,mesh_generation_command,generation_runtime_s,geometry_gate_status,phase32a_design_v2_canonical_sha256,phase32a_design_v2_git_blob_id,phase32a_design_v3_canonical_sha256,phase32a_design_v3_git_blob_id,connector_gap_coefficient,requested_bottom_core_radial_layer_count,realized_bottom_core_radial_layer_count,bottom_core_structured_panel_count
phase3_2a_endpoint_prototype,MESH_L1,1,NO,0.0707009403590185,0.5,219.748602338939,4,4,2,4,2,3,64,64,64,10,64,64,64,192,1280,1088,640,3200,0.899901370359355,0.902189145691737,31.995283669977,35.9192806292049,23.5234293951175,30.8326625343517,31.9839217880114,32.0076141672923,23.1407563266006,22.5073621714976,376,30.6618513598673,0.195312500007431,1956.31295166354,1073.34214536434,0.44194173825,7.64297917957749,52.4770196823542,7.58291583832407,0,3106,6304,2,2,0,0,192,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,0d1f567d5c8a5291114a0a2213e3c092c5b46a890c922cfb12f013bccc215c2a,ca138c54054a85cc725f6f0d13767d1d881a84a222a1e304107b929fbc722072,5dd819d6ff78ac88a0ba79c0d65a3a975d43c7b4bfe13bbcce3564ea22196509,57063d2c5fb98015aeb6ce8787cac981a4f4300871b83d24fd187bc0e32d74ec,7c4fb682565df9221968a1295bd1f8cba94899d92e72063b53d4dbb0b5885b2a,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,b64305226bed2cc2395518117797b7c0feb366d299ab2489c25bc55001d09aa6,6b405f39647839cb4e3e5d258acf2711e969c7fdddb3a3bd997002db8f45ed63,83d7357350e84e831478f1ed7eaf664c950c8fe03f4ee11d2779a89686e60c82,15eebde53ddd04f934b2f0b2fc0f751f72bcfd8b8e6d22ad7cd4beff223b86fe,mode=QUALITY_CONTROLLED_V2;body=4;FS=4|2;bottom=4|2;wallNz=3;theta=64;outerFactor=1.5,0.6935068,PASS,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,4,4,192
phase3_2a_endpoint_prototype,MESH_L2,2,NO,0.0550177552570247,0.5,219.748602338939,5,5,3,5,3,4,80,80,80,14,80,80,80,300,2000,1820,1120,5240,0.720984429031345,0.720822984811636,25.6107701207066,28.7568902833932,17.9117571629611,25.1303898370204,24.1840326447538,24.2023126588883,18.3234018665208,17.8851363831663,480,23.9679916651267,0.105841953572747,1244.36146702743,631.536493360616,0.351789605565353,7.50215539383532,52.2435963328331,6.49915624280425,0,5122,10360,2,2,0,0,240,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,b1cae3500cef548db8ea49f27ded91976b0d7b887f02e764545910e895b6c7c3,aa31e6112a22019e9c246c0cd85a799e91de4c7383a3094e734367b98cb5464b,50e1da4dbafb4faecad11bd61730d680a83eb6acfdd9ed3537b4554f5dd20241,1a783d127d6f84c1b755e5edb293c9c51c65ba4d0060c82c6d067dfec38413e9,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,b64305226bed2cc2395518117797b7c0feb366d299ab2489c25bc55001d09aa6,1ce0e3abf2307ca71ecf0079055bca3d736ead0a89863af14f62367f22f4f3a8,6063d012a58d8c4c150c50518485c2a1802aeaa93ef86668088e37a15ee1d3cf,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,mode=QUALITY_CONTROLLED_V2;body=5;FS=5|3;bottom=5|3;wallNz=4;theta=80;outerFactor=1.5,0.5843522,PASS,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,7,7,380
phase3_2a_endpoint_prototype,MESH_L3,3,NO,0.0412542094946932,0.5,219.748602338939,7,6,4,6,4,5,112,112,112,17,112,112,112,588,3696,3556,1904,9744,0.515651584165798,0.511276502549461,18.9301543857168,21.1418490626988,12.6320820774126,17.8387364283391,18.5526589885329,18.5669244814884,13.1123388916703,12.6733720911361,672,17.5807151192051,0.0415267181074218,662.266770592071,355.745421992863,0.204675907355603,7.73516831844286,51.9804388404248,5.01605271391314,0,9578,19320,2,2,0,0,336,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,41e8a8715b634634ac2f1f67ac3950bbad80f7740df38268cdbcf7da9e4cfd05,00115611a29beefcf4f7ae35c263bc30b6491da49a04a1d743165fb455d1c90c,4050d6955d073b9adef6a0d801373d82af802d80d0bb3173dd99686b3fd8d9af,ab870123c397381b2a81d173d557abd89a450a0b2cda9a77ee70dc0be4c94f9e,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,b64305226bed2cc2395518117797b7c0feb366d299ab2489c25bc55001d09aa6,4cc72f799998423b04718d4f7b973225411047e7387a5be474102a40790458c7,eb5103aaff91e555c5970a8817b0c73a717ff356be1527cbf578fabecfdaac5a,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,mode=QUALITY_CONTROLLED_V2;body=7;FS=6|4;bottom=6|4;wallNz=5;theta=112;outerFactor=1.5,0.968547,PASS,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,12,12,868
phase3_2a_endpoint_prototype,MESH_L1,1,NO,0.0707009403590185,2,15.4042497981632,4,4,2,4,2,3,64,64,64,3,64,64,64,192,480,608,192,1472,0.899901370359355,0.902189145691737,5.62443326421112,7.06829386722908,3.68288433095716,2.7880333602351,10.8707804754259,10.8734916891904,4.97996486021542,3.76742079729467,384,6.06297169007607,0.195312500007431,124.697143347677,13.2600453243062,0.44194173825,3.82586146484281,52.4770196823542,7.58291583832407,0,1378,2848,2,2,0,0,192,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,76.2127493944895,64.6595620458671,76.2127493944895,64.6595620458671,50,0d1f567d5c8a5291114a0a2213e3c092c5b46a890c922cfb12f013bccc215c2a,cc309c0e67a643b5361ab040fd1048b65d033913397bd67ed8d256f7ecd83e33,8f4cb0e00492f2b52d89a0ef125cdcc334ae3669b99f7e3dbc079dd36645eba4,803ffc22d80e08bf830987380b92481a96f4934b3f951b899b5d2eb535aa7128,4e2560e62580e290efc2e41720002d8f8c57c07af2414aa465ae8d608d5d73b4,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,c2cc39bce1aa51ca03153934d51e4f95c60c502845ef948f689225a30313c141,5eb1757eb1a52189f4803b6006fdb66ded4aba34b7d905c5ba4ea15a5601b880,a118d10d69cd5da3648e51addb005ab15a97f10bf21ae409bca6450c1d0c3051,15eebde53ddd04f934b2f0b2fc0f751f72bcfd8b8e6d22ad7cd4beff223b86fe,mode=QUALITY_CONTROLLED_V2;body=4;FS=4|2;bottom=4|2;wallNz=3;theta=64;outerFactor=1.5,0.1758756,PASS,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,4,4,192
phase3_2a_endpoint_prototype,MESH_L2,2,NO,0.0550177552570247,2,15.4042497981632,5,5,3,5,3,4,80,80,80,4,80,80,80,300,760,1060,320,2440,0.720984429031345,0.720822984811636,4.52484539831279,5.43910482072503,2.76654239706943,2.20512839039057,8.42105641370777,8.42282919221383,3.80894943030144,3.0984240140721,472,4.71013798782661,0.105841953572747,75.3156528905404,8.68211281273937,0.351789605565353,3.82364845645404,52.243596332833,6.49915624280425,0,2322,4760,2,2,0,0,240,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,76.2127493944895,64.6595620458671,76.2127493944895,64.6595620458671,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,f5ded7b9609d98af429ea5b0dd737c448dfcd34e021b444fd62bddd7429ea91f,7e34528d087bbcf9dcc98790b5e3a286b1d9b7b86bc910f958977f2dee471bc2,e7c7b03e3e4fc6cf59aa515c1adf02ab05cb9beba7b1c91db893c787d5710835,73282da37e82f4a8abc02e2757a13f525c72de0463af6cc07e3ba1f4723b6073,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,c2cc39bce1aa51ca03153934d51e4f95c60c502845ef948f689225a30313c141,e7451ba8d613af8a11e991d40e837bbf5f7042683a3d2fa8fecef69fbbaacb16,772d53ce6971d257a6a08dd27fb0c57a5f40e537f8d86eb99829c97b5e1548c8,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,mode=QUALITY_CONTROLLED_V2;body=5;FS=5|3;bottom=5|3;wallNz=4;theta=80;outerFactor=1.5,0.3365571,PASS,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,7,7,380
phase3_2a_endpoint_prototype,MESH_L3,3,NO,0.0412542094946932,2,15.4042497981632,7,6,4,6,4,5,112,112,112,5,112,112,112,588,1400,2044,560,4592,0.515651584165798,0.511276502549461,3.38556251244692,3.92312786089859,1.91600415555186,1.56254959432787,6.36614160152019,6.36785675502097,2.76052697928987,2.24516600222657,672,3.43403870046401,0.0415267181074218,43.2100351456113,4.83739360998791,0.204675907355603,4.45867676429887,51.9804388404248,5.01605271391314,0,4426,9016,2,2,0,0,336,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,76.2127493944895,64.6595620458671,76.2127493944895,64.6595620458671,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,6c5ce18dfdc2b51378daba169ed974b86f0dcd1497bf2a850914e11d09306033,185f921fd901c822f15d556b246432353a610aaad9f9ed0248dc04fa27dd22c6,296641e207b2d724d664fd2e362d84ce199833b744775daff7752e6ad4b817e7,5f9d55276912b69f8e622226e9ee07147ca6c9ce15e744d4325dc8379f8fe017,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,c2cc39bce1aa51ca03153934d51e4f95c60c502845ef948f689225a30313c141,aa63ef163eeac84133cdc85bf4f622fd7aeb21b5635075aba0abe1c1f2bc4c09,f6a41dd74dbcbc4ebfe44d4c148b9d6d4fa56afc0a83dd9c01171b6ff664c323,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,mode=QUALITY_CONTROLLED_V2;body=7;FS=6|4;bottom=6|4;wallNz=5;theta=112;outerFactor=1.5,0.4350378,PASS,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,12,12,868
