topology_mode,omega_rad_s,matrix_assembly_status,bem_unknown_count,raw_rcond,scaled_rcond,radiation_linear_relative_residual,diffraction_linear_relative_residual,radiation_algebraic_relative_residual,diffraction_algebraic_relative_residual,maximum_abs_outer_ntheta,maximum_outer_column_residual,A33_kg,B33_kg_s,F3_real_N_per_m,F3_imag_N_per_m,RAO3_real_m_per_m,RAO3_imag_m_per_m,D3_real_N_per_m,D3_imag_N_per_m,D3_abs_N_per_m,cache_status,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash,operator_hash,production_source_hash,config_raw_sha256,assembly_runtime_s,total_runtime_s,legacy_geometry_exact_hash_match,legacy_maximum_response_relative_difference,legacy_regression_status,solve_status,error_identifier,error_message
LEGACY,1.5,PASS,2752,2.31950141753968e-05,6.18624988260384e-05,1.22286403229452e-14,8.00262089350084e-14,1.22286403229452e-14,8.00262089350084e-14,1.94719585036681e-15,0,143231.901730289,79789.4828056507,86836.193738561,132222.104642787,0.114296328673491,-0.857554600460034,-138233.340648021,119684.224208476,182846.301551594,miss,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,b736a9acb3e7ebecf90c401549957118eaa1f674ab7c545b6c5b03ecc95c4ea6,05a688e4775d447e7c1d3f9448484dc64afec0fc9b4d5061df28ab880b035e6f,5457459b8517b7556778a2815299b135623485cc97fd0720a72ac26d9229c7d8,ec245467a1fdbf173d253e7fbdac503bc9745722c73531074cf31736c2ecafc5,509b6eddf541d41ff445fee0d1cb936b52c61a854e7767e62e02e3711ea30836,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,632ae2f5d8041cd7e9a38c7bd997e54c1aab33ff63be447ebe3494937d57bc97,100.7341494,104.6423186,1,4.27694142510556e-13,PASS,PASS,,
QUALITY_CONTROLLED_V2,1.5,PASS,4480,2.39538460509986e-05,5.8729944509506e-05,7.21032883040198e-15,3.05751145005674e-14,7.21032883040198e-15,3.05751145005674e-14,3.78587192693751e-15,0,105617.326109004,22812.9887040188,181570.539777509,37475.1489710522,-2.08949493505493,-2.0331245602073,-53600.545500129,34219.4830560282,63592.3855389401,miss,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,8f1540da9cfd5bb90fbce9ee5fc844ea24ef79d69f4068e42e71377ac8697ef7,cb5f15b5c895f01a628dd0bcd13f84a02bd3b1c8f1471b600289c6c95fc55598,b39403d50188a0d6af49ef2ac9639c90084344f440ccef829e183bc7045537d1,e98ec5f118c553d564eea77f3c57430487b708a2b948741a09d728ca6f418478,6af43c682d79d8ebd79f9ccfcf9d3002b19b118c0a7370842d33b6f76308d826,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,1a47857f6dddc26d8c15f77b4bd10f6effc2bb22f8dd88befc938397dbe47aca,263.0708372,270.2642747,0,NaN,NOT_APPLICABLE_NEW_MODE,PASS,,
