mesh_level,omega_rad_s,component,event_type,event_rank,panel_id,generator_region,ring_index,sector_index,scheduler,is_triangle,is_poor,area_m2,sqrt_area_m,aspect_ratio,aspect_limit,minimum_angle_deg,maximum_angle_deg,skewness_deg,warp_deg,center_x_m,center_y_m,center_z_m,v1_x_m,v1_y_m,v1_z_m,v2_x_m,v2_y_m,v2_z_m,v3_x_m,v3_y_m,v3_z_m,v4_x_m,v4_y_m,v4_z_m,body_division_count,fs_radial_counts,bottom_radial_counts,configured_wall_theta_count,legacy_theta_count,final_wall_theta_count,radial_scheduler_candidate,metric_bug,root_cause_status,runtime_provenance
MESH_L1,0.5,free_surface,WORST_ASPECT_RATIO,1,159,FS_BASE_EQUAL_COUNT_POLAR_RING,5,31,generate_free_surface_bmf radial weights + elliptic smoothing,0,1,1269.01480811316,35.6232341051899,25.701280867429,12,50.7331220396632,140.517039838279,50.5170398382791,0,57.3366090077498,-32.1989969520577,0,7.65366864715724,-18.4775906502856,0,100.676736070249,-57.2148287405149,0,109.904626654373,-36.4741761705964,0,11.1114046592199,-16.6293922468341,0,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_MINIMUM_ANGLE,1,809,FS_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,1434.01319798124,37.8683667192188,1.83907310855899,12,32.8947286222387,87.1874999999999,57.1052713777613,0,-656.644751697681,-153.575242269192,0,-634.364999021176,-126.183043735265,0,-676.002142102318,-134.465186436274,0,-659.56711396955,-200.077496636036,0,-659.56711396955,-200.077496636036,0,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_ASPECT_RATIO,2,160,FS_BASE_EQUAL_COUNT_POLAR_RING,5,32,generate_free_surface_bmf radial weights + elliptic smoothing,0,1,1268.47963177041,35.6157216938027,25.7012808500566,12,50.7329601619452,140.511853354821,50.5118533548208,0,62.5147291349431,-20.3967040433853,0,11.1114046592199,-16.6293922468341,0,109.904626654373,-36.4741761705964,0,114.900749602448,-14.3411121323797,0,14.142135623731,-14.1421356237309,0,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_MINIMUM_ANGLE,2,839,FS_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,1434.01319798124,37.8683667192188,1.83907310855899,12,32.8947286222387,87.1875,57.1052713777613,0,153.575242269192,-656.644751697681,0,126.183043735265,-634.364999021176,0,134.465186436274,-676.002142102318,0,200.077496636036,-659.56711396955,0,200.077496636036,-659.56711396955,0,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_ASPECT_RATIO,3,158,FS_BASE_EQUAL_COUNT_POLAR_RING,5,30,generate_free_surface_bmf radial weights + elliptic smoothing,0,1,1269.00992617587,35.6231655833093,25.7012157158262,12,50.7332845186632,140.516877958381,50.5168779583807,0,49.9530104683935,-42.7661847691849,0,3.90180644027924,-19.6157056080732,0,87.5798307158885,-75.7566140778658,0,100.676736070249,-57.2148287405149,0,7.65366864715724,-18.4775906502856,0,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_MINIMUM_ANGLE,3,869,FS_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,1434.01319798124,37.8683667192188,1.83907310855899,12,32.8947286222387,87.1875,57.1052713777613,0,656.644751697681,153.575242269192,0,634.364999021176,126.183043735265,0,676.002142102318,134.465186436274,0,659.56711396955,200.077496636036,0,659.56711396955,200.077496636036,0,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_ASPECT_RATIO,4,157,FS_BASE_EQUAL_COUNT_POLAR_RING,5,29,generate_free_surface_bmf radial weights + elliptic smoothing,0,1,1269.00505657601,35.623097234463,25.7011507435918,12,50.7334475273891,140.516715481113,50.5167154811128,0,40.6497203416918,-51.6898228533089,0,-2.79543312993819e-15,-20,0,71.1172442105995,-91.3869717272965,0,87.5798307158885,-75.7566140778658,0,3.90180644027924,-19.6157056080732,0,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_MINIMUM_ANGLE,4,899,FS_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,1434.01319798123,37.8683667192187,1.83907310855899,12,32.8947286222388,87.1875,57.1052713777612,0,-153.575242269192,656.644751697681,0,-126.183043735265,634.364999021176,0,-134.465186436274,676.002142102318,0,-200.077496636036,659.56711396955,0,-200.077496636036,659.56711396955,0,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_ASPECT_RATIO,5,156,FS_BASE_EQUAL_COUNT_POLAR_RING,5,28,generate_free_surface_bmf radial weights + elliptic smoothing,0,1,1269.00019926891,35.6230290580252,25.7010859528679,12,50.7336109964921,140.516552472484,50.5165524724844,0,29.7842726652855,-58.626977122208,0,-3.90180644027924,-19.6157056080732,0,51.9216528908217,-103.505231153462,0,71.1172442105995,-91.3869717272965,0,-2.79543312993819e-15,-20,0,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,free_surface,WORST_MINIMUM_ANGLE,5,697,FS_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,1435.08236291076,37.8824809497842,1.83745881322863,12,32.92112882686,86.9999999999999,57.07887117314,0,-614.931005496986,-145.294981028974,0,-592.727855940033,-117.900901034255,0,-634.364999021176,-126.183043735265,0,-617.70016152975,-191.800998317403,0,-617.70016152975,-191.800998317403,0,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
