mesh_level,omega_rad_s,component,raw_panel_count,recomputed_panel_count,raw_maximum_aspect_ratio,recomputed_maximum_aspect_ratio,raw_minimum_corner_angle_deg,recomputed_minimum_corner_angle_deg,raw_poor_panel_fraction,recomputed_poor_panel_fraction,raw_status,recomputed_status,maximum_numeric_relative_difference,numeric_match,status_match,row_match
MESH_L1,0.5,body,192,192,1.40403606215522,1.40403606215522,66.5620538048336,66.5620538048336,0,0,PASS,PASS,1.57883647193927e-15,1,1,1
MESH_L1,0.5,free_surface,928,928,25.701280867429,25.701280867429,32.8947286222387,32.8947286222387,0.163793103448276,0.163793103448276,FAIL,FAIL,3.42697176526132e-15,1,1,1
MESH_L1,0.5,bottom,1120,1120,25.701280867429,25.701280867429,19.1043063146102,19.1043063146102,0.610714285714286,0.610714285714286,FAIL,FAIL,3.42697176526132e-15,1,1,1
MESH_L1,0.5,farfield,640,640,3.92729408680788,3.92729408680788,87.3087191283674,87.3087191283674,0,0,PASS,PASS,1.58207601946758e-15,1,1,1
MESH_L2,0.5,body,300,300,1.40768945026193,1.40768945026193,65.2486095720126,65.2486095720126,0,0,PASS,PASS,2.68152772120524e-15,1,1,1
MESH_L2,0.5,free_surface,1480,1480,122.201862485027,122.201862485027,4.77834538665509,4.77834538665509,0.205405405405405,0.205405405405405,FAIL,FAIL,2.91258658770814e-15,1,1,1
MESH_L2,0.5,bottom,1780,1780,122.201862485027,122.201862485027,4.77834538665509,4.77834538665509,0.624719101123596,0.624719101123596,FAIL,FAIL,2.91258658770814e-15,1,1,1
MESH_L2,0.5,farfield,1120,1120,4.3992054270044,4.3992054270044,87.8469490300348,87.8469490300348,0,0,PASS,PASS,3.7542692582317e-15,1,1,1
MESH_L3,0.5,body,588,588,1.41088028264537,1.41088028264537,63.7439059459357,63.7439059459357,0,0,PASS,PASS,2.61093047963483e-15,1,1,1
MESH_L3,0.5,free_surface,2856,2856,12.1922444288728,12.1922444288728,32.5563715892084,32.5563715892084,0.162464985994398,0.162464985994398,FAIL,FAIL,1.74740465464832e-15,1,1,1
MESH_L3,0.5,bottom,3444,3444,12.1922444288728,12.1922444288728,18.5083193947278,18.5083193947278,0.59581881533101,0.59581881533101,FAIL,FAIL,2.98143323080945e-15,1,1,1
MESH_L3,0.5,farfield,1904,1904,3.81611776992685,3.81611776992685,88.4620901190043,88.4620901190043,0,0,PASS,PASS,3.5067350214252e-15,1,1,1
MESH_L1,0.6,body,192,192,1.40403606215522,1.40403606215522,66.5620538048336,66.5620538048336,0,0,PASS,PASS,1.57883647193927e-15,1,1,1
MESH_L1,0.6,free_surface,928,928,18.0526645129627,18.0526645129627,32.7671283518538,32.7671283518538,0.146551724137931,0.146551724137931,FAIL,FAIL,2.55836349206197e-15,1,1,1
MESH_L1,0.6,bottom,1120,1120,18.0526645129627,18.0526645129627,19.1043063146103,19.1043063146103,0.582142857142857,0.582142857142857,FAIL,FAIL,2.64213947537288e-15,1,1,1
